datum;nee
2013-05-16;1.00000000
2013-05-17;0.99998000
2013-05-21;1.00521400
2013-05-22;1.00633800
2013-05-23;1.00949400
2013-05-24;1.00987200
2013-05-27;1.00799200
2013-05-28;1.01201400
2013-05-29;1.00970400
2013-05-30;1.00812500
2013-05-31;1.00824300
2013-06-03;1.00681700
2013-06-04;1.00556400
2013-06-05;1.00489200
2013-06-06;1.00619400
2013-06-07;1.00657500
2013-06-10;1.00679600
2013-06-11;1.00642000
2013-06-12;1.00412100
2013-06-13;1.00220500
2013-06-14;1.00171100
2013-06-17;0.99957800
2013-06-18;0.99942500
2013-06-19;1.00018500
2013-06-20;1.00100800
2013-06-21;0.99977400
2013-06-24;0.99980100
2013-06-25;0.99808400
2013-06-26;0.99825700
2013-06-27;0.99797900
2013-06-28;1.00033400
2013-07-01;1.00082900
2013-07-02;1.00113800
2013-07-03;1.00214500
2013-07-04;1.00349600
2013-07-05;1.00302900
2013-07-08;1.00397600
2013-07-09;1.00537600
2013-07-10;1.00492900
2013-07-11;1.00387800
2013-07-12;1.00484100
2013-07-15;1.00597300
2013-07-16;1.00604900
2013-07-17;1.00465100
2013-07-18;1.00442600
2013-07-19;1.00139900
2013-07-22;1.00171300
2013-07-23;1.00258200
2013-07-24;1.00467700
2013-07-25;1.00338400
2013-07-26;1.00061200
2013-07-29;0.99862100
2013-07-30;1.00154900
2013-07-31;1.00170200
2013-08-01;1.00239800
2013-08-02;1.00391000
2013-08-05;1.00324700
2013-08-06;1.00151500
2013-08-07;1.00134000
2013-08-08;1.00212700
2013-08-09;1.00155900
2013-08-12;1.00121900
2013-08-13;1.00206400
2013-08-14;1.00281300
2013-08-15;1.00298300
2013-08-16;1.00268800
2013-08-21;1.00131100
2013-08-22;1.00147400
2013-08-23;1.00158100
2013-08-26;1.00167500
2013-08-27;1.00073500
2013-08-28;1.00199100
2013-08-29;1.00119500
2013-08-30;1.00125700
2013-09-02;1.00194500
2013-09-03;1.00178600
2013-09-04;1.00272100
2013-09-05;1.00349600
2013-09-06;1.00223000
2013-09-09;1.00123500
2013-09-10;1.00212400
2013-09-11;1.00549300
2013-09-12;1.00584300
2013-09-13;1.00653200
2013-09-16;1.00613800
2013-09-17;1.00607200
2013-09-18;1.00577800
2013-09-19;1.00465800
2013-09-20;1.00495200
2013-09-23;1.00420800
2013-09-24;1.00458800
2013-09-25;1.00948500
2013-09-26;1.01070900
2013-09-27;1.01073300
2013-09-30;1.00919300
2013-10-01;1.00848100
2013-10-02;1.00875500
2013-10-03;1.00821500
2013-10-04;1.00856300
2013-10-07;1.00823900
2013-10-08;1.00820800
2013-10-09;1.00877200
2013-10-10;1.00993900
2013-10-11;1.00838300
