datum;nee
2013-05-02;10.00000000
2013-05-03;9.99004100
2013-05-06;9.98473500
2013-05-07;9.98393600
2013-05-08;10.02387600
2013-05-09;10.02427000
2013-05-10;10.05694800
2013-05-13;10.07724300
2013-05-14;10.10887900
2013-05-15;10.11392400
2013-05-16;10.08588200
2013-05-17;10.08822200
2013-05-21;10.12820700
2013-05-22;10.13541700
2013-05-23;10.01312200
2013-05-24;10.01117500
2013-05-27;10.07716100
2013-05-28;10.14952100
2013-05-29;10.06413100
2013-05-30;10.05983600
2013-05-31;9.99454300
2013-06-03;9.95405900
2013-06-04;9.96402000
2013-06-05;9.87429400
2013-06-06;9.83324700
2013-06-07;9.88557700
2013-06-10;9.88502400
2013-06-11;9.81538600
2013-06-12;9.77154700
2013-06-13;9.76374000
2013-06-14;9.77010800
2013-06-17;9.81694000
2013-06-18;9.82279600
2013-06-19;9.77560300
2013-06-20;9.57143700
2013-06-21;9.46418100
2013-06-24;9.36020700
2013-06-25;9.40824000
2013-06-26;9.52062200
2013-06-27;9.59631900
2013-06-28;9.59234700
2013-07-01;9.59597100
2013-07-02;9.60348100
2013-07-03;9.52769200
2013-07-04;9.66223200
2013-07-05;9.58926500
2013-07-08;9.63134000
2013-07-09;9.67535100
2013-07-10;9.67417500
2013-07-11;9.72921600
2013-07-12;9.69437900
2013-07-15;9.71896700
2013-07-16;9.69389100
2013-07-17;9.72235500
2013-07-18;9.81608400
2013-07-19;9.84506000
2013-07-22;9.86448500
2013-07-23;9.94554300
2013-07-24;9.99754700
2013-07-25;9.97749000
2013-07-26;9.99833800
2013-07-29;9.95572300
2013-07-30;10.01010600
2013-07-31;9.97586200
2013-08-01;10.09988400
2013-08-02;10.10216000
2013-08-05;10.10806900
2013-08-06;10.01702000
2013-08-07;10.01033500
2013-08-08;10.09768200
2013-08-09;10.11826900
2013-08-12;10.11548800
2013-08-13;10.18545100
2013-08-14;10.17879500
2013-08-15;10.11076900
2013-08-16;10.13930500
2013-08-21;9.97064900
2013-08-22;10.06459600
2013-08-23;10.11141000
2013-08-26;10.07992400
2013-08-27;9.95688400
2013-08-28;10.04519700
2013-08-29;10.04412900
2013-08-30;9.97943700
2013-09-02;10.04620900
2013-09-03;10.05489200
2013-09-04;10.07807400
2013-09-05;10.13918300
2013-09-06;10.23479300
2013-09-09;10.21582300
2013-09-10;10.38009600
2013-09-11;10.50179900
2013-09-12;10.58849700
2013-09-13;10.58444800
2013-09-16;10.62390400
2013-09-17;10.61144200
2013-09-18;10.60681900
2013-09-19;10.64388200
2013-09-20;10.62865200
2013-09-23;10.60239500
2013-09-24;10.66154600
2013-09-25;10.68728400
2013-09-26;10.72285100
2013-09-27;10.70166300
2013-09-30;10.62873400
2013-10-01;10.75345300
2013-10-02;10.75363400
2013-10-03;10.70649800
2013-10-04;10.77465300
2013-10-07;10.80607500
2013-10-08;10.78121800
2013-10-09;10.81192800
2013-10-10;10.96297300
2013-10-11;10.92529700
2013-10-14;10.96409600
2013-10-15;11.03943700
2013-10-16;11.11610600
2013-10-17;11.09246100
2013-10-18;11.15322300
2013-10-21;11.18595000
2013-10-22;11.20038400
2013-10-24;11.17379800
2013-10-25;11.16587300
2013-10-28;11.17708900
2013-10-29;11.26968300
2013-10-30;11.24282700
2013-10-31;11.22585500
2013-11-04;11.22342000
2013-11-05;11.21061700
2013-11-06;11.29947100
2013-11-07;11.20997400
2013-11-08;11.19469900
2013-11-11;11.21971800
2013-11-12;11.16375900
2013-11-13;11.14473600
2013-11-14;11.16328600
2013-11-15;11.18201600
2013-11-18;11.26664300
2013-11-19;11.20984300
2013-11-20;11.18530800
2013-11-21;11.21592100
2013-11-22;11.24200800
2013-11-25;11.25231800
2013-11-26;11.23458300
2013-11-27;11.27675700
2013-11-28;11.02098300
2013-11-29;11.03560800
2013-12-02;10.98735200
2013-12-03;10.82251300
2013-12-04;10.77903400
2013-12-05;10.68745300
2013-12-06;10.71735300
2013-12-09;10.73354000
2013-12-10;10.70374600
2013-12-11;10.66625200
2013-12-12;10.60687100
2013-12-13;10.57462500
2013-12-16;10.65950100
2013-12-17;10.58987300
2013-12-18;10.66534200
2013-12-19;10.80294300
2013-12-20;10.81002400
2013-12-23;10.84814400
2013-12-30;10.94224000
