datum;nee
2001-03-29;1.00179400
2001-03-30;1.00197900
2001-04-02;1.00249300
2001-04-03;1.00268100
2001-04-04;1.00286300
2001-04-05;1.00321100
2001-04-06;1.00353600
2001-04-09;1.00382700
2001-04-10;1.00414500
2001-04-11;1.00438600
2001-04-12;1.00472000
2001-04-13;1.00482800
2001-04-17;1.00534800
2001-04-18;1.00563500
2001-04-19;1.00603800
2001-04-20;1.00619600
2001-04-23;1.00654800
2001-04-24;1.00667200
2001-04-25;1.00677000
2001-04-26;1.00688800
2001-04-27;1.00701300
2001-04-28;1.00720900
2001-05-02;1.00758300
2001-05-03;1.00783900
2001-05-04;1.00805900
2001-05-07;1.00865600
2001-05-08;1.00895000
2001-05-09;1.00929700
2001-05-10;1.01001100
2001-05-11;1.01001500
2001-05-14;1.01056000
2001-05-15;1.01068800
2001-05-16;1.01098600
2001-05-17;1.01111900
2001-05-18;1.01133100
2001-05-21;1.01206500
2001-05-22;1.01226100
2001-05-23;1.01199500
2001-05-24;1.01201100
2001-05-25;1.01238900
2001-05-28;1.01308200
2001-05-29;1.01350700
2001-05-30;1.01369200
2001-05-31;1.01404800
2001-06-01;1.01407000
2001-06-05;1.01537600
2001-06-06;1.01596800
2001-06-07;1.01615800
2001-06-08;1.01623300
2001-06-11;1.01722300
2001-06-12;1.01685600
2001-06-13;1.01829000
2001-06-14;1.01793200
2001-06-15;1.01913900
2001-06-18;1.01850600
2001-06-19;1.01882600
2001-06-20;1.01995700
2001-06-21;1.01888000
2001-06-22;1.01920100
2001-06-25;1.02163400
2001-06-26;1.02028000
2001-06-27;1.02105300
2001-06-28;1.02185300
2001-06-29;1.02263800
2001-07-02;1.02228600
2001-07-03;1.02386500
2001-07-04;1.02247100
2001-07-05;1.02327400
2001-07-06;1.02348300
2001-07-09;1.02468700
2001-07-10;1.02418000
2001-07-11;1.02371600
2001-07-12;1.02389000
2001-07-13;1.02454600
2001-07-16;1.02536600
2001-07-17;1.02571600
2001-07-18;1.02604300
2001-07-19;1.02637500
2001-07-20;1.02691600
2001-07-23;1.02769800
2001-07-24;1.02583100
2001-07-25;1.02698500
2001-07-26;1.02859800
2001-07-27;1.02856700
2001-07-30;1.02880100
2001-07-31;1.02787500
2001-08-01;1.02787200
2001-08-02;1.02852200
2001-08-03;1.02750600
2001-08-06;1.02862400
2001-08-07;1.02950800
2001-08-08;1.02927400
2001-08-09;1.03010800
2001-08-10;1.02981600
2001-08-13;1.03156800
2001-08-14;1.03106200
2001-08-15;1.03182800
2001-08-16;1.03132300
2001-08-17;1.03175700
2001-08-21;1.03263900
2001-08-22;1.03310000
2001-08-23;1.03348100
2001-08-24;1.03400600
2001-08-27;1.03523100
2001-08-28;1.03450200
2001-08-29;1.03457600
2001-08-30;1.03561300
2001-08-31;1.03518100
2001-09-03;1.03576000
2001-09-04;1.03634100
2001-09-05;1.03601100
2001-09-06;1.03600300
2001-09-07;1.03655400
2001-09-10;1.03750200
2001-09-11;1.03811100
2001-09-12;1.03799000
2001-09-13;1.03817300
2001-09-14;1.04147800
2001-09-17;1.03988000
2001-09-18;1.03949300
2001-09-19;1.03959300
2001-09-20;1.04068400
2001-09-21;1.04058000
2001-09-24;1.04235200
2001-09-25;1.04190200
2001-09-26;1.04312100
2001-09-27;1.04331000
2001-09-28;1.04386300
2001-10-01;1.04384500
2001-10-02;1.04158900
2001-10-03;1.04190100
2001-10-04;1.04331400
2001-10-05;1.04371700
2001-10-08;1.04392900
2001-10-09;1.04622000
2001-10-10;1.04640800
2001-10-11;1.04644500
2001-10-12;1.04850600
2001-10-15;1.04720500
2001-10-16;1.04834800
2001-10-17;1.04784500
2001-10-18;1.04657900
2001-10-19;1.04757200
2001-10-20;1.04778700
2001-10-24;1.04856700
2001-10-25;1.05005900
2001-10-26;1.04886100
2001-10-27;1.04905800
2001-10-29;1.05023400
2001-10-30;1.05027400
2001-10-31;1.04977600
2001-11-05;1.05535900
2001-11-06;1.05543200
2001-11-07;1.05841300
2001-11-08;1.06020100
2001-11-09;1.05953000
2001-11-12;1.05982000
2001-11-13;1.05970700
2001-11-14;1.05980700
2001-11-15;1.06015400
2001-11-16;1.05862500
2001-11-19;1.05925100
2001-11-20;1.06061000
2001-11-21;1.06285500
2001-11-22;1.06290200
2001-11-23;1.06320100
2001-11-26;1.06515600
2001-11-27;1.06490800
2001-11-28;1.06677900
2001-11-29;1.06668800
2001-11-30;1.06800000
2001-12-03;1.07145000
2001-12-04;1.07066800
2001-12-05;1.07194200
2001-12-06;1.07304900
2001-12-07;1.07143200
2001-12-10;1.07336900
2001-12-11;1.07410200
2001-12-12;1.07515000
2001-12-13;1.07622000
2001-12-14;1.07543200
2001-12-17;1.07625300
2001-12-18;1.07774800
2001-12-19;1.07740600
2001-12-20;1.07707600
2001-12-21;1.07697400
2001-12-22;1.07717300
2001-12-27;1.07842500
2001-12-28;1.07911100
2001-12-29;1.07930800
2002-01-02;1.07995900
2002-01-03;1.07978900
2002-01-04;1.08250700
2002-01-07;1.08393400
