datum;nee
2008-01-17;1.00000000
2008-01-18;0.99688400
2008-01-21;0.95253500
2008-01-22;0.96208800
2008-01-23;0.94795600
2008-01-24;0.99100300
2008-01-25;0.99291100
2008-01-28;0.97598300
2008-01-29;0.98783800
2008-01-30;0.99356100
2008-01-31;0.98778800
2008-02-01;1.02691200
2008-02-04;1.03720600
2008-02-05;0.99060000
2008-02-06;0.99473500
2008-02-07;0.97790800
2008-02-08;0.98274600
2008-02-11;0.99427000
2008-02-12;1.02111300
2008-02-13;1.03707100
2008-02-14;1.03367200
2008-02-15;1.02223400
2008-02-18;1.04106200
2008-02-19;1.04402900
2008-02-20;1.04280600
2008-02-21;1.03702700
2008-02-22;1.03103600
2008-02-25;1.03597300
2008-02-26;1.02918000
2008-02-27;1.01899300
2008-02-28;1.01365800
2008-02-29;1.01337800
2008-03-03;0.99700000
2008-03-04;0.97819800
2008-03-05;1.00330200
2008-03-06;0.98617100
2008-03-07;0.97464100
2008-03-10;0.97134800
2008-03-11;0.99526100
2008-03-12;0.99695000
2008-03-13;0.97726000
2008-03-14;0.96433900
2008-03-17;0.94216300
2008-03-18;0.96748600
2008-03-19;0.96552500
2008-03-20;0.95168000
2008-03-21;0.95905000
2008-03-25;0.97624300
2008-03-26;0.97161000
2008-03-27;0.99216100
2008-03-28;1.00193800
2008-03-31;0.99631300
2008-04-01;1.02101800
2008-04-02;1.02235300
2008-04-03;1.00739800
2008-04-04;1.01283600
2008-04-07;1.01843600
2008-04-08;1.00798600
2008-04-09;1.01220700
2008-04-10;0.99930900
2008-04-11;0.98441500
2008-04-14;0.98216300
2008-04-15;0.99066800
2008-04-16;0.99530100
2008-04-17;0.99448300
2008-04-18;1.01050400
2008-04-21;0.99767100
2008-04-22;0.99341700
2008-04-23;0.98884300
2008-04-24;1.00113500
2008-04-25;1.00765800
2008-04-28;1.01150700
2008-04-29;1.00002600
2008-04-30;1.01527900
2008-05-05;1.04122700
2008-05-06;1.04224900
2008-05-07;1.04872800
2008-05-08;1.04386900
2008-05-09;1.03871100
2008-05-13;1.04254500
2008-05-14;1.05169200
2008-05-15;1.05148100
2008-05-16;1.05511700
2008-05-19;1.04866000
2008-05-20;1.03221000
2008-05-21;1.02211800
2008-05-22;1.02225900
2008-05-23;1.01379800
2008-05-26;1.01099900
2008-05-27;1.01149400
2008-05-28;1.02396100
2008-05-29;1.02049200
2008-05-30;1.02003300
2008-06-02;1.01956500
2008-06-03;1.02307100
2008-06-04;1.00920900
2008-06-05;1.01455000
2008-06-06;1.00928300
2008-06-09;1.00575300
2008-06-10;0.99137600
2008-06-11;0.98343400
2008-06-12;0.99576900
2008-06-13;1.00066900
2008-06-16;0.99517800
2008-06-17;1.00442900
2008-06-18;0.99035500
2008-06-19;0.98796600
2008-06-20;0.95495200
2008-06-23;0.94709300
2008-06-24;0.93969600
2008-06-25;0.94345800
2008-06-26;0.93371000
2008-06-27;0.92972600
2008-06-30;0.93253600
2008-07-01;0.91842300
2008-07-02;0.92696200
2008-07-03;0.92420000
2008-07-04;0.90126800
2008-07-07;0.91350700
2008-07-08;0.91603200
2008-07-09;0.93277200
2008-07-10;0.92550900
2008-07-11;0.91515200
2008-07-14;0.91761100
2008-07-15;0.90252600
2008-07-16;0.91201500
2008-07-17;0.93576700
2008-07-18;0.93794700
2008-07-21;0.94987500
2008-07-22;0.94720000
2008-07-23;0.96346200
2008-07-24;0.95982200
2008-07-25;0.95725900
2008-07-28;0.96091500
2008-07-29;0.96426900
2008-07-30;0.98710900
2008-07-31;0.98633500
2008-08-01;0.97392000
2008-08-04;0.96465100
2008-08-05;0.98233000
2008-08-06;0.98225000
2008-08-07;0.96677600
2008-08-08;0.95525500
2008-08-11;0.96312900
2008-08-12;0.96626000
2008-08-13;0.95416000
2008-08-14;0.94920400
2008-08-15;0.95334100
2008-08-18;0.95033800
2008-08-19;0.92692000
2008-08-21;0.91957300
2008-08-22;0.93512900
2008-08-25;0.93036100
2008-08-26;0.92399300
2008-08-27;0.91917800
2008-08-28;0.94035100
2008-08-29;0.95629900
2008-09-01;0.94357100
2008-09-02;0.95454700
2008-09-03;0.93983900
2008-09-04;0.93024700
2008-09-05;0.89976200
2008-09-08;0.92180600
2008-09-09;0.90676800
2008-09-10;0.89041100
2008-09-11;0.88114900
2008-09-12;0.88664700
2008-09-15;0.86827900
2008-09-16;0.84788900
2008-09-17;0.84022300
2008-09-18;0.84037700
2008-09-19;0.90574200
2008-09-22;0.90795400
2008-09-23;0.88260900
2008-09-24;0.88048400
2008-09-25;0.89752200
2008-09-26;0.89278700
2008-09-29;0.85221100
2008-09-30;0.86129800
2008-10-01;0.87977600
2008-10-02;0.86690000
2008-10-03;0.87280600
2008-10-06;0.80847700
2008-10-07;0.79404800
2008-10-08;0.76592900
2008-10-09;0.73987000
2008-10-10;0.68741100
2008-10-13;0.71898700
2008-10-14;0.77287900
2008-10-15;0.74072400
2008-10-16;0.69107800
2008-10-17;0.65214200
2008-10-20;0.64909100
2008-10-21;0.66722200
2008-10-22;0.61740200
2008-10-27;0.54016600
2008-10-28;0.56225700
2008-10-29;0.62244700
2008-10-30;0.65448700
2008-10-31;0.65981300
2008-11-03;0.66675400
2008-11-04;0.70955400
2008-11-05;0.68003300
2008-11-06;0.63593900
2008-11-07;0.65617000
2008-11-10;0.65939600
2008-11-11;0.63201800
2008-11-12;0.60784500
2008-11-13;0.58397500
2008-11-14;0.59483200
2008-11-17;0.59476600
2008-11-18;0.56832000
2008-11-19;0.57151900
2008-11-20;0.53984400
2008-11-21;0.54564200
2008-11-24;0.57894400
2008-11-25;0.59323400
2008-11-26;0.59144800
2008-11-27;0.60800500
2008-11-28;0.60922100
2008-12-01;0.58840000
2008-12-02;0.59005900
2008-12-03;0.58427600
2008-12-04;0.59911700
2008-12-05;0.59072600
2008-12-08;0.60737500
2008-12-09;0.61679700
2008-12-10;0.61691500
2008-12-11;0.61247200
2008-12-12;0.58647600
2008-12-15;0.59140600
2008-12-16;0.59810400
2008-12-17;0.58505000
2008-12-18;0.58983800
2008-12-19;0.58620100
2008-12-22;0.58371900
2008-12-23;0.58413900
2008-12-29;0.59126500
2008-12-30;0.59508700
2008-12-31;0.59011100
2009-01-05;0.61575600
2009-01-06;0.63672000
2009-01-07;0.62902600
2009-01-08;0.62676400
2009-01-09;0.62280300
2009-01-12;0.62485800
2009-01-13;0.60867300
2009-01-14;0.59055800
2009-01-15;0.58278400
2009-01-16;0.58525900
2009-01-19;0.56453900
2009-01-20;0.56269100
2009-01-21;0.56559300
2009-01-22;0.54303400
2009-01-23;0.53661700
2009-01-26;0.56340400
2009-01-27;0.55215500
2009-01-28;0.56288000
2009-01-29;0.55635600
2009-01-30;0.55858600
2009-02-02;0.55100500
2009-02-03;0.54708500
2009-02-04;0.53111400
2009-02-05;0.52109200
2009-02-06;0.52641900
2009-02-09;0.54570400
2009-02-10;0.53770000
2009-02-11;0.53140800
2009-02-12;0.52235700
2009-02-13;0.52352300
2009-02-16;0.50134900
2009-02-17;0.46938200
2009-02-18;0.46162500
2009-02-19;0.48348000
2009-02-20;0.47625800
2009-02-23;0.46952400
2009-02-24;0.47107800
2009-02-25;0.46361100
2009-02-26;0.47177200
2009-02-27;0.46719600
2009-03-02;0.47162200
2009-03-03;0.47235100
2009-03-04;0.48932600
2009-03-05;0.47807600
2009-03-06;0.49252500
2009-03-09;0.48766700
2009-03-10;0.49612800
2009-03-11;0.49826400
2009-03-12;0.49910300
2009-03-13;0.50476100
2009-03-16;0.52033400
2009-03-17;0.51043800
2009-03-18;0.51047600
2009-03-19;0.52502200
2009-03-20;0.53425600
2009-03-23;0.55487900
2009-03-24;0.55229000
2009-03-25;0.57542800
2009-03-26;0.58154500
2009-03-27;0.55915200
2009-03-30;0.53563900
2009-03-31;0.54513000
2009-04-01;0.54815400
2009-04-02;0.57444500
2009-04-03;0.59247100
2009-04-06;0.59220500
2009-04-07;0.57918700
2009-04-08;0.60348800
2009-04-09;0.61563900
2009-04-10;0.61388700
2009-04-14;0.62051300
2009-04-15;0.61596000
2009-04-16;0.62173900
2009-04-17;0.61700000
2009-04-20;0.60092600
2009-04-21;0.59429000
2009-04-22;0.60314900
2009-04-23;0.60584600
2009-04-24;0.61249500
2009-04-27;0.60254200
2009-04-28;0.58990500
2009-04-29;0.60984200
2009-04-30;0.62000200
2009-05-04;0.64437200
2009-05-05;0.64898400
2009-05-06;0.64787400
2009-05-07;0.65118600
2009-05-08;0.65698200
2009-05-11;0.64610700
2009-05-12;0.64863900
2009-05-13;0.62368400
2009-05-14;0.62714100
2009-05-15;0.63636300
2009-05-18;0.64594300
2009-05-19;0.64997800
2009-05-20;0.66331700
2009-05-21;0.65019500
2009-05-22;0.64544200
2009-05-25;0.64998400
2009-05-26;0.65323700
2009-05-27;0.65317000
2009-05-28;0.65151000
2009-05-29;0.63190000
2009-06-02;0.67490800
2009-06-03;0.66897700
2009-06-04;0.67240200
2009-06-05;0.68571600
2009-06-08;0.67306600
2009-06-09;0.68124400
2009-06-10;0.68690200
2009-06-11;0.68599100
2009-06-12;0.68555100
2009-06-15;0.67260200
2009-06-16;0.66888800
2009-06-17;0.65900000
2009-06-18;0.66227000
2009-06-19;0.66639000
2009-06-22;0.63739000
2009-06-23;0.63887200
2009-06-24;0.64905900
2009-06-25;0.63994900
2009-06-26;0.64300300
2009-06-29;0.65186000
2009-06-30;0.63708700
2009-07-01;0.64458100
2009-07-02;0.62920700
2009-07-03;0.62774300
2009-07-06;0.62640400
2009-07-07;0.62546900
2009-07-08;0.62827800
2009-07-09;0.63323200
2009-07-10;0.62581400
2009-07-13;0.64084600
2009-07-14;0.65722600
2009-07-15;0.67468400
2009-07-16;0.67596600
2009-07-17;0.67049700
2009-07-20;0.69128800
2009-07-21;0.70289900
2009-07-22;0.68762400
2009-07-23;0.70192100
2009-07-24;0.70843400
2009-07-27;0.71339300
2009-07-28;0.69897200
2009-07-29;0.70690700
2009-07-30;0.73573700
2009-07-31;0.74307700
2009-08-03;0.75756600
2009-08-04;0.75285800
2009-08-05;0.74963700
2009-08-06;0.76121300
2009-08-07;0.77238100
2009-08-10;0.77852700
2009-08-11;0.76093800
2009-08-12;0.76520900
2009-08-13;0.78496500
2009-08-14;0.78015000
2009-08-17;0.76129300
2009-08-18;0.77114800
2009-08-19;0.77034900
2009-08-24;0.82283900
2009-08-25;0.83065900
2009-08-26;0.81139400
2009-08-27;0.80286800
2009-08-28;0.81454000
2009-08-31;0.81389200
2009-09-01;0.81400800
2009-09-02;0.78191800
2009-09-03;0.78930300
2009-09-04;0.79406900
2009-09-07;0.80976200
2009-09-08;0.81368500
2009-09-09;0.80791500
2009-09-10;0.80208000
2009-09-11;0.79809900
2009-09-14;0.79179200
2009-09-15;0.79623700
2009-09-16;0.81181200
2009-09-17;0.82633900
2009-09-18;0.82440700
2009-09-21;0.81563600
2009-09-22;0.83603600
2009-09-23;0.84034300
2009-09-24;0.83441600
2009-09-25;0.82233300
2009-09-28;0.82677000
2009-09-29;0.81821400
2009-09-30;0.81956900
2009-10-01;0.81281400
2009-10-02;0.78990500
2009-10-05;0.79026200
2009-10-06;0.81182500
2009-10-07;0.80227100
2009-10-08;0.81008200
2009-10-09;0.81142200
2009-10-12;0.82513900
2009-10-13;0.82072300
2009-10-14;0.84065800
2009-10-15;0.83210800
2009-10-16;0.83194600
2009-10-19;0.83869900
2009-10-20;0.84803700
2009-10-21;0.84967400
2009-10-22;0.84490300
2009-10-26;0.85675100
2009-10-27;0.84009600
2009-10-28;0.81675700
2009-10-29;0.83508200
2009-10-30;0.82441700
2009-11-02;0.82983100
2009-11-03;0.81634000
2009-11-04;0.83367200
2009-11-05;0.84962900
2009-11-06;0.83831900
2009-11-09;0.86046800
2009-11-10;0.86501600
2009-11-11;0.87051900
2009-11-12;0.87863200
2009-11-13;0.86399600
2009-11-16;0.86820500
2009-11-17;0.86277300
2009-11-18;0.85885600
2009-11-19;0.84740700
2009-11-20;0.84785700
2009-11-23;0.86542300
2009-11-24;0.85414500
2009-11-25;0.84490200
2009-11-26;0.83457300
2009-11-27;0.83567800
2009-11-30;0.84821000
2009-12-01;0.85512200
2009-12-02;0.85511300
2009-12-03;0.85582400
2009-12-04;0.87544100
2009-12-07;0.87176200
2009-12-08;0.85609700
2009-12-09;0.84194400
2009-12-10;0.84172800
2009-12-11;0.84576900
2009-12-14;0.84731300
2009-12-15;0.84350400
2009-12-16;0.85211600
2009-12-17;0.84697000
2009-12-18;0.83763400
2009-12-21;0.84159200
2009-12-22;0.84003900
2009-12-23;0.84005400
2009-12-28;0.84764900
2009-12-29;0.85408400
2009-12-30;0.84888100
2009-12-31;0.84475800
2010-01-04;0.86091300
2010-01-05;0.87203500
2010-01-06;0.87535500
2010-01-07;0.86629900
2010-01-08;0.87016200
2010-01-11;0.89159200
2010-01-12;0.88526600
2010-01-13;0.88879500
2010-01-14;0.89600100
2010-01-15;0.89062900
2010-01-18;0.90159200
2010-01-19;0.90671800
2010-01-20;0.90848400
2010-01-21;0.90175100
2010-01-22;0.88323400
2010-01-25;0.88401900
2010-01-26;0.87973100
2010-01-27;0.87216400
2010-01-28;0.87134900
2010-01-29;0.87886800
2010-02-01;0.88378100
2010-02-02;0.88184300
2010-02-03;0.88338000
