datum;nee
2002-08-01;1.00116300
2002-08-02;0.98296500
2002-08-05;0.94167600
2002-08-06;0.98929800
2002-08-07;1.00319400
2002-08-08;1.02091200
2002-08-09;1.02554600
2002-08-12;1.01742600
2002-08-13;1.00170500
2002-08-14;1.02082900
2002-08-15;1.04125200
2002-08-16;1.04072300
2002-08-21;1.04869800
2002-08-22;1.05838700
2002-08-23;1.04849600
2002-08-26;1.05737000
2002-08-27;1.05244800
2002-08-28;1.02667500
2002-08-29;1.01688800
2002-08-30;1.01547200
2002-09-02;1.01493900
2002-09-03;0.97657400
2002-09-04;0.98337400
2002-09-05;0.97413500
2002-09-06;0.99262400
2002-09-09;1.00961900
2002-09-10;1.01072200
2002-09-11;1.01059200
2002-09-12;0.99097300
2002-09-13;0.98095900
2002-09-16;0.99193900
2002-09-17;0.98257200
2002-09-18;0.96963800
2002-09-19;0.93941800
2002-09-20;0.93658300
2002-09-23;0.91724700
2002-09-24;0.91052400
2002-09-25;0.92829100
2002-09-26;0.94770200
2002-09-27;0.92624600
2002-09-30;0.91286400
2002-10-01;0.94515200
2002-10-02;0.92777300
2002-10-03;0.91466000
2002-10-04;0.89978200
2002-10-07;0.88839300
2002-10-08;0.89958000
2002-10-09;0.88377100
2002-10-10;0.89564800
2002-10-11;0.93112900
2002-10-14;0.93195600
2002-10-15;0.98330400
2002-10-16;0.96109400
2002-10-17;0.98643600
2002-10-18;0.99034100
2002-10-21;0.99362100
2002-10-22;0.97573900
2002-10-24;0.96502300
2002-10-25;0.97582500
2002-10-28;0.97791800
2002-10-29;0.95538900
2002-10-30;0.96440000
2002-10-31;0.95992300
2002-11-04;0.97702900
2002-11-05;0.97795100
2002-11-06;0.98496400
2002-11-07;0.95891600
2002-11-08;0.94672100
2002-11-11;0.92743000
2002-11-12;0.93858600
2002-11-13;0.93508900
2002-11-14;0.95066500
2002-11-15;0.95686500
2002-11-18;0.94465600
2002-11-19;0.93783100
2002-11-20;0.96272300
2002-11-21;0.97976500
2002-11-22;0.97325800
2002-11-25;0.97646300
2002-11-26;0.95996000
2002-11-27;0.98339900
2002-11-28;0.98496300
2002-11-29;0.98543800
2002-12-02;0.98257200
2002-12-03;0.97061200
2002-12-04;0.96442200
2002-12-05;0.95301100
2002-12-06;0.95524200
2002-12-09;0.93100100
2002-12-10;0.93526400
2002-12-11;0.93919600
2002-12-12;0.93128400
2002-12-13;0.90865600
2002-12-16;0.93256200
2002-12-17;0.91247800
2002-12-18;0.90610300
2002-12-19;0.90253300
2002-12-20;0.91575800
2002-12-23;0.90709500
2002-12-27;0.88516000
2002-12-30;0.89471000
2002-12-31;0.89181300
2003-01-02;0.91405700
2003-01-03;0.92568700
2003-01-06;0.93127100
2003-01-07;0.92594700
2003-01-08;0.91293700
2003-01-09;0.91720800
2003-01-10;0.91824900
2003-01-13;0.91459400
2003-01-14;0.91925700
2003-01-15;0.91470700
2003-01-16;0.90945200
2003-01-17;0.92153400
2003-01-20;0.92403000
2003-01-21;0.91749800
2003-01-22;0.90949600
2003-01-23;0.91270800
2003-01-24;0.88807700
2003-01-27;0.85959000
2003-01-28;0.86888800
2003-01-29;0.86575600
2003-01-30;0.86789200
2003-01-31;0.88139100
2003-02-03;0.89175600
2003-02-04;0.87327600
2003-02-05;0.87324300
2003-02-06;0.86958100
2003-02-07;0.86636700
2003-02-10;0.86324000
2003-02-11;0.87265200
2003-02-12;0.85652900
2003-02-13;0.85343400
2003-02-14;0.86940100
2003-02-17;0.88100900
2003-02-18;0.89286900
2003-02-19;0.88166900
2003-02-20;0.87456600
2003-02-21;0.87624000
2003-02-24;0.86779400
2003-02-25;0.85262800
2003-02-26;0.84488800
2003-02-27;0.84593900
2003-02-28;0.85849200
2003-03-03;0.85787600
2003-03-04;0.84033400
2003-03-05;0.84007300
2003-03-06;0.83243600
2003-03-07;0.83844100
2003-03-10;0.80653200
2003-03-11;0.80052500
2003-03-12;0.79119700
2003-03-13;0.82779000
2003-03-14;0.84121200
2003-03-17;0.86587200
2003-03-18;0.88235800
2003-03-19;0.89045700
2003-03-20;0.89725500
2003-03-21;0.91891400
2003-03-24;0.88433000
2003-03-25;0.89109900
2003-03-26;0.89268000
2003-03-27;0.88296100
2003-03-28;0.87894500
2003-03-31;0.84774500
2003-04-01;0.86110200
2003-04-02;0.88818300
2003-04-03;0.88289800
2003-04-04;0.89371200
2003-04-07;0.90954100
2003-04-08;0.89675400
2003-04-09;0.88812100
2003-04-10;0.88716800
2003-04-11;0.88824800
2003-04-14;0.90286400
2003-04-15;0.90978000
2003-04-16;0.89179000
2003-04-17;0.89992200
2003-04-18;0.90026800
2003-04-22;0.91493500
2003-04-23;0.91707300
2003-04-24;0.90591500
2003-04-25;0.89648900
2003-04-26;0.89648900
2003-04-28;0.90604300
2003-04-29;0.90923200
2003-04-30;0.91218800
2003-05-05;0.90871000
2003-05-06;0.90813100
2003-05-07;0.90322800
2003-05-08;0.89329100
2003-05-09;0.89669400
2003-05-12;0.89850600
2003-05-13;0.90031400
2003-05-14;0.90119700
2003-05-15;0.90661500
2003-05-16;0.91438200
2003-05-19;0.87559600
2003-05-20;0.88462300
2003-05-21;0.88040600
2003-05-22;0.89012500
2003-05-23;0.88597900
2003-05-26;0.88360500
2003-05-27;0.88600800
2003-05-28;0.89542900
2003-05-29;0.92157100
2003-05-30;0.91217700
2003-06-02;0.92742200
2003-06-03;0.93573400
2003-06-04;0.95414400
2003-06-05;0.99734100
2003-06-06;0.96538000
2003-06-10;0.98958700
2003-06-11;0.97867100
2003-06-12;0.97650500
2003-06-13;0.97342700
2003-06-16;0.97920100
2003-06-17;0.99797700
2003-06-18;1.00386200
2003-06-19;1.00138500
2003-06-20;0.99769600
2003-06-23;0.98926800
2003-06-24;0.98703700
2003-06-25;0.98022400
2003-06-26;0.99871500
2003-06-27;1.01402000
2003-06-30;1.00295000
2003-07-01;0.99709700
2003-07-02;1.00302300
2003-07-03;1.00688200
2003-07-04;1.00661800
2003-07-07;1.02003400
2003-07-08;1.02712100
2003-07-09;1.02089300
2003-07-10;1.01303500
2003-07-11;1.01336400
2003-07-14;1.02125300
2003-07-15;1.01339800
2003-07-16;1.02759400
2003-07-17;1.01673300
2003-07-18;1.03347600
2003-07-21;1.02144900
2003-07-22;1.02087500
2003-07-23;1.03103000
2003-07-24;1.01615500
2003-07-25;1.01865700
2003-07-28;1.01721800
2003-07-29;1.00620300
2003-07-30;1.00809700
2003-07-31;1.02230900
2003-08-01;1.03117200
2003-08-04;1.01814400
2003-08-05;0.99869000
2003-08-06;0.99899500
2003-08-07;1.00286900
2003-08-08;0.99839600
2003-08-11;1.00545200
2003-08-12;1.00583000
2003-08-13;1.00931700
2003-08-14;1.01758300
2003-08-15;1.02360600
2003-08-18;1.03097300
2003-08-19;1.03999000
2003-08-21;1.04206400
2003-08-22;1.03997100
2003-08-25;1.03601800
2003-08-26;1.04041900
2003-08-27;1.04078200
2003-08-28;1.04262400
2003-08-29;1.04426600
2003-09-01;1.03901000
2003-09-02;1.06100500
2003-09-03;1.06533000
2003-09-04;1.06239500
2003-09-05;1.04933600
2003-09-08;1.05125800
2003-09-09;1.04091200
2003-09-10;1.03130400
2003-09-11;1.03003100
2003-09-12;1.03257000
2003-09-15;1.02450900
2003-09-16;1.03444700
2003-09-17;1.04052800
2003-09-18;1.04872200
2003-09-19;1.03972800
2003-09-22;1.01553400
2003-09-23;1.01600800
2003-09-24;1.00305200
2003-09-25;0.99923100
2003-09-26;1.00006000
2003-09-29;1.00860400
2003-09-30;0.98476400
2003-10-01;0.99684500
2003-10-02;0.99427600
2003-10-03;1.00438400
2003-10-06;1.01634100
2003-10-07;1.00453700
2003-10-08;1.00131200
2003-10-09;0.99870300
2003-10-10;1.01347600
2003-10-13;1.02784600
2003-10-14;1.03316600
2003-10-15;1.02654800
2003-10-16;1.03771400
2003-10-17;1.03392900
2003-10-18;1.03392900
2003-10-20;1.03104300
2003-10-21;1.03125800
2003-10-22;1.01528200
2003-10-27;1.01692600
2003-10-28;1.02590400
2003-10-29;1.02371400
2003-10-30;1.02978400
2003-10-31;1.04246300
2003-11-03;1.06221600
