datum;nee
2023-07-18;1.00000000
2023-07-19;1.01118100
2023-07-20;1.01632900
2023-07-21;1.01723800
2023-07-24;1.02363300
2023-07-25;1.02480500
2023-07-26;1.02319800
2023-07-27;1.01660000
2023-07-28;1.01912600
2023-07-31;1.02242800
2023-08-01;1.03110000
2023-08-02;1.02792600
2023-08-03;1.03231100
2023-08-04;1.02952500
2023-08-07;1.03252200
2023-08-08;1.02945300
2023-08-09;1.03133700
2023-08-10;1.02429600
2023-08-11;1.02713500
2023-08-14;1.01958600
2023-08-15;1.02572000
2023-08-16;1.02367800
2023-08-17;1.02606700
2023-08-18;1.02766600
2023-08-21;1.02898200
2023-08-22;1.03324600
2023-08-23;1.03421800
2023-08-24;1.03522100
2023-08-25;1.03123600
2023-08-28;1.03379500
2023-08-29;1.03323700
2023-08-30;1.03452200
2023-08-31;1.03277500
2023-09-01;1.03800300
2023-09-04;1.03345000
2023-09-05;1.03667700
2023-09-06;1.03463700
2023-09-07;1.02379200
2023-09-08;1.02439700
2023-09-11;1.02181400
2023-09-12;1.02655900
2023-09-13;1.02283200
2023-09-14;1.02470400
2023-09-15;1.03941400
2023-09-18;1.03912500
2023-09-19;1.03696300
2023-09-20;1.03675100
2023-09-21;1.03892000
2023-09-25;1.05528400
2023-09-26;1.06339400
2023-09-27;1.06312500
2023-09-28;1.05683500
2023-09-29;1.05810000
2023-10-02;1.05094200
2023-10-03;1.04529000
2023-10-04;1.03775300
2023-10-05;1.03784600
2023-10-06;1.03060500
2023-10-09;1.03339400
2023-10-10;1.04702500
2023-10-11;1.05132800
2023-10-12;1.04920600
2023-10-13;1.05979600
2023-10-16;1.06234400
2023-10-17;1.06667900
2023-10-18;1.06432300
2023-10-19;1.05746800
2023-10-20;1.05430200
2023-10-24;1.04837300
2023-10-25;1.05354700
2023-10-26;1.05290900
2023-10-27;1.05536100
2023-10-30;1.05884600
2023-10-31;1.06024400
2023-11-02;1.05889600
2023-11-03;1.05936000
2023-11-06;1.05940900
2023-11-07;1.05162700
2023-11-08;1.04554500
2023-11-09;1.04275100
2023-11-10;1.03953000
2023-11-13;1.04050900
2023-11-14;1.05430900
2023-11-15;1.05434600
2023-11-16;1.05195600
2023-11-17;1.05648900
2023-11-20;1.09871300
2023-11-21;1.09768400
2023-11-22;1.09481500
2023-11-23;1.09412800
2023-11-24;1.10079800
2023-11-27;1.09979200
2023-11-28;1.10320300
2023-11-29;1.09512600
2023-11-30;1.09560400
2023-12-01;1.10296600
2023-12-04;1.10230400
2023-12-05;1.10031400
2023-12-06;1.10633800
2023-12-07;1.10550500
2023-12-08;1.10917800
2023-12-11;1.10391800
2023-12-12;1.09700800
2023-12-13;1.09782600
2023-12-14;1.11125000
2023-12-15;1.11466000
2023-12-18;1.12220100
2023-12-19;1.12377200
2023-12-20;1.12880200
2023-12-21;1.12538900
2023-12-22;1.12968600
2023-12-27;1.13176100
2023-12-28;1.12917700
2023-12-29;1.13135100
2023-12-31;1.13131400
2024-01-02;1.13201900
2024-01-03;1.13052600
2024-01-04;1.13064200
2024-01-05;1.13148900
2024-01-08;1.12925000
2024-01-09;1.13348100
2024-01-10;1.13843500
2024-01-11;1.13807000
2024-01-12;1.14317300
2024-01-15;1.14256000
2024-01-16;1.14096900
2024-01-17;1.13034700
2024-01-18;1.13421900
2024-01-19;1.13975300
2024-01-22;1.14172500
2024-01-23;1.14223700
2024-01-24;1.14518200
2024-01-25;1.14199500
2024-01-26;1.14292300
2024-01-29;1.14714900
2024-01-30;1.14032700
2024-01-31;1.14256800
2024-02-01;1.15384800
2024-02-02;1.15042500
2024-02-05;1.14796200
2024-02-06;1.15400700
2024-02-07;1.15166700
2024-02-08;1.14855100
2024-02-09;1.14873800
2024-02-12;1.15197900
2024-02-13;1.14576600
2024-02-14;1.14897000
2024-02-15;1.15273000
2024-02-16;1.15102000
2024-02-19;1.15603800
2024-02-20;1.15471000
2024-02-21;1.15505500
2024-02-22;1.15848400
2024-02-23;1.15758600
2024-02-26;1.15776400
2024-02-27;1.15694100
2024-02-28;1.15026300
2024-02-29;1.15062300
2024-03-01;1.15632900
2024-03-04;1.14945700
2024-03-05;1.14993900
2024-03-06;1.14938400
2024-03-07;1.15471900
2024-03-08;1.15746900
2024-03-11;1.15906000
2024-03-12;1.15879000
2024-03-13;1.16148600
2024-03-14;1.16174500
2024-03-18;1.15623200
2024-03-19;1.16054400
2024-03-20;1.16113000
2024-03-21;1.16222500
2024-03-22;1.16315900
2024-03-25;1.16137800
2024-03-26;1.16016900
2024-03-27;1.16243000
2024-03-28;1.17151600
2024-04-02;1.17622800
2024-04-03;1.18086100
2024-04-04;1.18114700
2024-04-05;1.18702400
2024-04-08;1.19301700
2024-04-09;1.19452400
2024-04-10;1.19149100
2024-04-11;1.18827900
2024-04-12;1.18507900
2024-04-15;1.18320700
2024-04-16;1.17231200
2024-04-17;1.17330900
2024-04-18;1.17473200
2024-04-19;1.18130200
2024-04-22;1.18695600
2024-04-23;1.18520800
2024-04-24;1.18190400
2024-04-25;1.17747700
2024-04-26;1.17884800
2024-04-29;1.18740700
2024-04-30;1.18374900
2024-05-02;1.18507300
2024-05-03;1.18660600
2024-05-06;1.19167000
2024-05-07;1.20154200
2024-05-08;1.20525800
2024-05-09;1.21466600
2024-05-10;1.21692600
2024-05-13;1.21785600
2024-05-14;1.22135400
2024-05-15;1.22018000
2024-05-16;1.22832200
2024-05-17;1.23948100
2024-05-21;1.24606900
2024-05-22;1.24025000
2024-05-23;1.23158500
2024-05-24;1.23272400
2024-05-27;1.23009100
2024-05-28;1.23233800
2024-05-29;1.22329400
2024-05-30;1.22929800
2024-05-31;1.23540700
2024-06-03;1.23400500
2024-06-04;1.22682200
2024-06-05;1.22658700
2024-06-06;1.22724600
2024-06-07;1.22457300
2024-06-10;1.23674900
2024-06-11;1.23089500
2024-06-12;1.23417000
2024-06-13;1.22881700
2024-06-14;1.22226400
2024-06-17;1.21931900
2024-06-18;1.22157400
2024-06-19;1.22265000
2024-06-20;1.22295900
2024-06-21;1.22197900
2024-06-24;1.22396600
2024-06-25;1.21913000
2024-06-26;1.22429600
2024-06-27;1.22842800
2024-06-28;1.22995400
2024-07-01;1.22800800
2024-07-02;1.22813100
2024-07-03;1.23464900
2024-07-04;1.23735200
2024-07-05;1.23487300
2024-07-08;1.23071000
2024-07-09;1.23772300
2024-07-10;1.23191600
2024-07-11;1.24188800
2024-07-12;1.24483900
2024-07-15;1.24229000
2024-07-16;1.23459900
2024-07-17;1.23108800
2024-07-18;1.23667400
2024-07-19;1.23538600
2024-07-22;1.23340000
2024-07-23;1.23173600
2024-07-24;1.23079600
2024-07-25;1.23129300
2024-07-26;1.22641800
2024-07-29;1.22640700
2024-07-30;1.22607100
2024-07-31;1.23279800
2024-08-01;1.22631300
2024-08-02;1.21927900
2024-08-05;1.19332700
2024-08-06;1.19036500
2024-08-07;1.19733300
2024-08-08;1.19741800
2024-08-09;1.19396200
2024-08-12;1.20344100
2024-08-13;1.19674200
2024-08-14;1.19494400
2024-08-15;1.19217000
2024-08-16;1.19546500
2024-08-21;1.18647600
2024-08-22;1.18516700
2024-08-23;1.19299300
2024-08-26;1.19347400
2024-08-27;1.19436000
2024-08-28;1.18491900
2024-08-29;1.18914500
2024-08-30;1.19671500
2024-09-02;1.20001400
2024-09-03;1.19679000
2024-09-04;1.19683100
2024-09-05;1.19552200
2024-09-06;1.19106100
2024-09-09;1.18972400
2024-09-10;1.19055800
2024-09-11;1.19242500
2024-09-12;1.19545900
2024-09-13;1.19649400
2024-09-16;1.19629500
2024-09-17;1.19889600
2024-09-18;1.19632500
2024-09-19;1.19410300
2024-09-20;1.18976200
2024-09-23;1.19645700
2024-09-24;1.20639500
2024-09-25;1.20868200
2024-09-26;1.20790300
2024-09-27;1.21727200
2024-09-30;1.21166000
2024-10-01;1.21014000
2024-10-02;1.20587800
2024-10-03;1.20691700
2024-10-04;1.21016900
2024-10-07;1.21029300
2024-10-08;1.20014900
2024-10-09;1.19700200
2024-10-10;1.20251900
2024-10-11;1.20518600
2024-10-14;1.20252100
2024-10-15;1.20378300
2024-10-16;1.20659800
2024-10-17;1.20602600
2024-10-18;1.20406400
2024-10-21;1.20391200
2024-10-22;1.19645600
2024-10-24;1.19189200
2024-10-25;1.19737500
2024-10-28;1.19536600
2024-10-29;1.19524400
2024-10-30;1.19205500
2024-10-31;1.19817300
2024-11-04;1.19616100
2024-11-05;1.19655800
2024-11-06;1.20113100
2024-11-07;1.20270500
2024-11-08;1.20536400
2024-11-11;1.21095100
2024-11-12;1.21125800
2024-11-13;1.20844400
2024-11-14;1.21404800
2024-11-15;1.20662200
2024-11-18;1.20696400
2024-11-19;1.19415200
2024-11-20;1.20142400
2024-11-21;1.21001000
2024-11-22;1.21595900
2024-11-25;1.21167900
2024-11-26;1.20812300
2024-11-27;1.20847100
2024-11-28;1.20807700
2024-11-29;1.20575200
2024-12-02;1.21096900
2024-12-03;1.20638400
2024-12-04;1.20212900
2024-12-05;1.20463100
2024-12-06;1.20302900
2024-12-09;1.20881100
2024-12-10;1.21241100
2024-12-11;1.21296500
2024-12-12;1.20863200
2024-12-13;1.20732700
2024-12-16;1.20374100
2024-12-17;1.19846600
2024-12-18;1.19653900
2024-12-19;1.20012100
2024-12-20;1.19985400
2024-12-23;1.20306700
2024-12-30;1.20115700
2024-12-31;1.20272000
2025-01-02;1.21560500
2025-01-03;1.22405100
2025-01-06;1.22258000
2025-01-07;1.22513800
2025-01-08;1.21790700
2025-01-09;1.22027800
2025-01-10;1.21979300
2025-01-13;1.22180900
2025-01-14;1.22332300
2025-01-15;1.23170300
2025-01-16;1.23165100
2025-01-17;1.23503600
2025-01-20;1.23644800
2025-01-21;1.23390500
2025-01-22;1.22518200
2025-01-23;1.22201700
2025-01-24;1.22505200
2025-01-27;1.22331600
2025-01-28;1.22743700
2025-01-29;1.22780200
2025-01-30;1.23321900
2025-01-31;1.23114800
2025-02-03;1.22108600
2025-02-04;1.22771500
2025-02-05;1.23113400
2025-02-06;1.24111300
2025-02-07;1.23682700
2025-02-10;1.24502700
2025-02-11;1.24311000
2025-02-12;1.23868800
2025-02-13;1.24149700
2025-02-14;1.24243300
2025-02-17;1.24467200
2025-02-18;1.25046300
2025-02-19;1.24496400
2025-02-20;1.24979900
2025-02-21;1.24654800
2025-02-24;1.24298300
2025-02-25;1.24065300
2025-02-26;1.24216200
2025-02-27;1.24397000
2025-02-28;1.23728900
2025-03-03;1.22926500
2025-03-04;1.22449000
2025-03-05;1.22454400
2025-03-06;1.22926900
2025-03-07;1.23702300
2025-03-10;1.24085100
2025-03-11;1.24475200
2025-03-12;1.24257600
2025-03-13;1.24796300
2025-03-14;1.25736400
2025-03-17;1.26459800
2025-03-18;1.27025000
2025-03-19;1.26989300
2025-03-20;1.27108300
2025-03-21;1.26586800
2025-03-24;1.26908700
2025-03-25;1.26965400
2025-03-26;1.27740600
2025-03-27;1.27936000
2025-03-28;1.28430500
2025-03-31;1.26686700
2025-04-01;1.27749200
2025-04-02;1.27639200
2025-04-03;1.26073900
2025-04-04;1.23838000
2025-04-07;1.22697800
2025-04-08;1.23700000
2025-04-09;1.21977200
2025-04-10;1.23032500
2025-04-11;1.23152500
2025-04-14;1.24203400
2025-04-15;1.24276400
2025-04-16;1.24192700
2025-04-17;1.24876400
2025-04-22;1.25393900
2025-04-23;1.25391000
2025-04-24;1.25564900
2025-04-25;1.25543400
2025-04-28;1.25647700
2025-04-29;1.26056800
2025-04-30;1.25666000
2025-05-05;1.26024000
2025-05-06;1.26368700
2025-05-07;1.26540600
2025-05-08;1.26989300
