datum;nee
2001-03-29;1.00141300
2001-03-30;1.00166300
2001-04-02;1.00184900
2001-04-03;1.00221200
2001-04-04;1.00230000
2001-04-05;1.00252300
2001-04-06;1.00258300
2001-04-09;0.99908600
2001-04-10;1.00168700
2001-04-11;1.01188700
2001-04-12;1.01734900
2001-04-13;1.01833300
2001-04-17;1.00783900
2001-04-18;1.02243600
2001-04-19;1.02290800
2001-04-20;1.02094500
2001-04-23;1.03203800
2001-04-24;1.03277300
2001-04-25;1.03483800
2001-04-26;1.03506000
2001-04-27;1.03435700
2001-04-28;1.03450400
2001-05-02;1.04169600
2001-05-03;1.04544300
2001-05-04;1.04028100
2001-05-07;1.03878900
2001-05-08;1.03652300
2001-05-09;1.03674400
2001-05-10;1.04313200
2001-05-11;1.04087900
2001-05-14;1.03546400
2001-05-15;1.03482700
2001-05-16;1.02576000
2001-05-17;1.02718700
2001-05-18;1.02458900
2001-05-21;1.02768600
2001-05-22;1.03681700
2001-05-23;1.03129400
2001-05-24;1.03039100
2001-05-25;1.02933000
2001-05-28;1.03017100
2001-05-29;1.03459500
2001-05-30;1.03971900
2001-05-31;1.04444000
2001-06-01;1.04845200
2001-06-05;1.03730000
2001-06-06;1.03375700
2001-06-07;1.03113700
2001-06-08;1.03470000
2001-06-11;1.02935300
2001-06-12;1.02479500
2001-06-13;1.02442800
2001-06-14;1.02568900
2001-06-15;1.02713000
2001-06-18;1.03043700
2001-06-19;1.03137800
2001-06-20;1.02692400
2001-06-21;1.02777700
2001-06-22;1.02628200
2001-06-25;1.02304800
2001-06-26;1.02135500
2001-06-27;1.02539300
2001-06-28;1.03392300
2001-06-29;1.03111500
2001-07-02;1.03240400
2001-07-03;1.03293200
2001-07-04;1.02284100
2001-07-05;1.02318700
2001-07-06;1.02058900
2001-07-09;1.02181900
2001-07-10;1.02083800
2001-07-11;1.01908700
2001-07-12;1.02062600
2001-07-13;1.01820000
2001-07-16;1.01838100
2001-07-17;1.01492700
2001-07-18;1.01714500
2001-07-19;1.01915500
2001-07-20;1.02334700
2001-07-23;1.02396800
2001-07-24;1.01756400
2001-07-25;1.01288300
2001-07-26;1.01148100
2001-07-27;1.00817000
2001-07-30;1.00655000
2001-07-31;1.00368000
2001-08-01;1.00397100
2001-08-02;1.00622600
2001-08-03;1.00765000
2001-08-06;1.00654900
2001-08-07;1.00184900
2001-08-08;0.99895300
2001-08-09;0.99551500
2001-08-10;0.99674300
2001-08-13;0.99719800
2001-08-14;0.99743500
2001-08-15;0.99533900
2001-08-16;0.98971400
2001-08-17;0.98242700
2001-08-21;0.97812100
2001-08-22;0.97951200
2001-08-23;0.98515900
2001-08-24;0.98733100
2001-08-27;0.98550700
2001-08-28;0.98097600
2001-08-29;0.97607800
2001-08-30;0.96773300
2001-08-31;0.96400900
2001-09-03;0.95466000
2001-09-04;0.94731800
2001-09-05;0.94154400
2001-09-06;0.94765200
2001-09-07;0.94180200
2001-09-10;0.92910000
2001-09-11;0.91999700
2001-09-12;0.89278600
2001-09-13;0.90695600
2001-09-14;0.90680400
2001-09-17;0.89163900
2001-09-18;0.89758100
2001-09-19;0.91435800
2001-09-20;0.90596400
2001-09-21;0.89209900
2001-09-24;0.90108200
2001-09-25;0.91046700
2001-09-26;0.92274100
