datum;nee
2020-09-28;0.99908800
2020-09-29;0.99391300
2020-09-30;0.99371800
2020-10-01;0.99746700
2020-10-02;0.99277700
2020-10-05;1.00481500
2020-10-06;1.01809900
2020-10-07;1.01751500
2020-10-08;1.01877200
2020-10-09;1.01532800
2020-10-12;1.01203600
2020-10-13;1.00922100
2020-10-14;1.01242400
2020-10-15;0.99498900
2020-10-16;1.00446600
2020-10-19;1.00178300
2020-10-20;0.99949200
2020-10-21;0.99759800
2020-10-22;0.99591700
2020-10-26;0.98109100
2020-10-27;0.97295900
2020-10-28;0.95063600
2020-10-29;0.94877000
2020-10-30;0.94881800
2020-11-02;0.95994400
2020-11-03;0.97933400
2020-11-04;0.98505900
2020-11-05;0.99381100
2020-11-06;0.99122400
2020-11-09;1.04575800
2020-11-10;1.06850100
2020-11-11;1.07951900
2020-11-12;1.07916400
2020-11-13;1.08436800
2020-11-16;1.11242000
2020-11-17;1.11440300
2020-11-18;1.12871700
2020-11-19;1.12469700
2020-11-20;1.13097800
2020-11-23;1.14066600
2020-11-24;1.14644400
2020-11-25;1.15183900
2020-11-26;1.15462500
2020-11-27;1.15610400
2020-11-30;1.14044100
2020-12-01;1.15186700
2020-12-02;1.15900300
2020-12-03;1.15933400
2020-12-04;1.17780400
2020-12-07;1.18530200
2020-12-08;1.18897100
2020-12-09;1.20025200
2020-12-10;1.19075500
2020-12-11;1.18644900
2020-12-14;1.19373800
2020-12-15;1.19724100
2020-12-16;1.21028100
2020-12-17;1.20864700
2020-12-18;1.20632700
2020-12-21;1.18261500
2020-12-22;1.19827900
2020-12-23;1.20938500
2020-12-28;1.23026200
2020-12-29;1.23238800
2020-12-30;1.23519700
2020-12-31;1.23373200
2021-01-04;1.24347000
2021-01-05;1.24223700
2021-01-06;1.24386000
2021-01-07;1.26398400
2021-01-08;1.28085700
2021-01-11;1.28460300
2021-01-12;1.28236300
2021-01-13;1.27887700
2021-01-14;1.28645100
2021-01-15;1.26893900
2021-01-18;1.27964400
2021-01-19;1.27871400
2021-01-20;1.27709800
2021-01-21;1.27116700
2021-01-22;1.26072600
2021-01-25;1.25210300
2021-01-26;1.25748000
2021-01-27;1.23501100
2021-01-28;1.24719600
2021-01-29;1.23586800
2021-02-01;1.24515500
2021-02-02;1.25405100
2021-02-03;1.25957700
2021-02-04;1.25868500
2021-02-05;1.27230300
2021-02-08;1.28265700
2021-02-09;1.27665900
2021-02-10;1.27208800
2021-02-11;1.27684700
2021-02-12;1.27795200
2021-02-15;1.29899400
2021-02-16;1.31401700
2021-02-17;1.30527400
2021-02-18;1.29655800
2021-02-19;1.30262000
2021-02-22;1.29458700
2021-02-23;1.29045200
2021-02-24;1.29514100
2021-02-25;1.30384500
2021-02-26;1.28925700
2021-03-01;1.31438800
2021-03-02;1.32352300
2021-03-03;1.32150600
2021-03-04;1.32097400
2021-03-05;1.32644600
2021-03-08;1.33696000
2021-03-09;1.34580600
2021-03-10;1.35234900
2021-03-11;1.35518800
2021-03-12;1.36029000
2021-03-16;1.37268000
2021-03-17;1.36528500
2021-03-18;1.36957600
2021-03-19;1.35990800
2021-03-22;1.34669200
2021-03-23;1.34036100
2021-03-24;1.33508900
2021-03-25;1.32899100
2021-03-26;1.34549800
2021-03-29;1.34966600
2021-03-30;1.35300300
2021-03-31;1.34791300
2021-04-01;1.36115600
2021-04-06;1.37483800
2021-04-07;1.37458400
2021-04-08;1.37130600
