datum;nee
2017-07-17;1.00000000
2017-07-18;0.99671300
2017-07-19;0.99665500
2017-07-20;0.99661700
2017-07-21;0.99649400
2017-07-24;0.99636700
2017-07-25;0.99632600
2017-07-26;0.99631100
2017-07-27;0.99620900
2017-07-28;0.99619700
2017-07-31;0.99588600
2017-08-01;0.99585700
2017-08-02;0.99452600
2017-08-03;0.99365300
2017-08-04;0.99288000
2017-08-07;0.99460200
2017-08-08;0.99255800
2017-08-09;0.98971300
2017-08-10;0.99005000
2017-08-11;0.98889100
2017-08-14;0.99067500
2017-08-15;0.99135400
2017-08-16;0.99057800
2017-08-17;0.98721100
2017-08-18;0.98717400
2017-08-21;0.98706400
2017-08-22;0.98695300
2017-08-23;0.98612800
2017-08-24;0.98610100
2017-08-25;0.98604100
2017-08-28;0.98469000
2017-08-29;0.98435700
2017-08-30;0.98419500
2017-08-31;0.98597800
2017-09-01;0.98644300
2017-09-04;0.98418300
2017-09-05;0.98320900
2017-09-06;0.98300400
2017-09-07;0.98354900
2017-09-08;0.98284500
2017-09-11;0.98377900
2017-09-12;0.98419800
2017-09-13;0.98480600
2017-09-14;0.98347000
2017-09-15;0.98245600
2017-09-18;0.98112100
2017-09-19;0.98106100
2017-09-20;0.98106500
2017-09-21;0.98105700
2017-09-22;0.97977600
2017-09-25;0.97964200
2017-09-26;0.97960600
2017-09-27;0.97886600
2017-09-28;0.97832000
2017-09-29;0.97827000
2017-10-02;0.97813400
2017-10-03;0.97808500
2017-10-04;0.97806900
2017-10-05;0.97999100
2017-10-06;0.97989000
2017-10-09;0.97977400
2017-10-10;0.97976400
2017-10-11;0.98065400
2017-10-12;0.98018700
2017-10-13;0.98151700
2017-10-16;0.98251900
2017-10-17;0.98267400
2017-10-18;0.98240000
2017-10-19;0.98117500
2017-10-20;0.98185800
2017-10-24;0.97998500
2017-10-25;0.97682100
2017-10-26;0.97678700
2017-10-27;0.97673600
2017-10-30;0.97690800
2017-10-31;0.97740500
2017-11-02;0.97734300
2017-11-03;0.97704600
2017-11-06;0.97613300
2017-11-07;0.97573600
2017-11-08;0.97587700
2017-11-09;0.97508000
2017-11-10;0.97291800
2017-11-13;0.97296900
2017-11-14;0.97282300
2017-11-15;0.97324600
2017-11-16;0.97270500
2017-11-17;0.97107600
2017-11-20;0.97029200
2017-11-21;0.97032500
2017-11-22;0.96981600
2017-11-23;0.96969400
2017-11-24;0.97027200
2017-11-27;0.97042500
2017-11-28;0.96980800
2017-11-29;0.96772500
2017-11-30;0.96400500
2017-12-01;0.96407900
2017-12-04;0.96413100
2017-12-05;0.96454600
2017-12-06;0.96248900
2017-12-07;0.96336400
2017-12-08;0.96383500
2017-12-11;0.96396900
2017-12-12;0.96329800
2017-12-13;0.96287700
2017-12-14;0.96259400
2017-12-15;0.96149100
2017-12-18;0.96605900
2017-12-19;0.96448800
2017-12-20;0.96319800
2017-12-21;0.96270500
2017-12-22;0.96281400
2017-12-27;0.96298500
2017-12-28;0.96202600
2017-12-29;0.96162000
2018-01-02;0.96068800
2018-01-03;0.96097300
2018-01-04;0.96213900
2018-01-05;0.96234900
2018-01-08;0.96298900
2018-01-09;0.96346100
2018-01-10;0.96197700
2018-01-11;0.96235300
2018-01-12;0.96229600
2018-01-15;0.96214400
2018-01-16;0.96268100
2018-01-17;0.96149000
2018-01-18;0.96139200
2018-01-19;0.96164400
2018-01-22;0.96198000
2018-01-23;0.96204800
2018-01-24;0.96136600
2018-01-25;0.96038500
2018-01-26;0.96110100
2018-01-29;0.96083900
2018-01-30;0.96039800
2018-01-31;0.96030700
2018-02-01;0.96022800
2018-02-02;0.96017700
2018-02-05;0.96025000
2018-02-06;0.96013900
2018-02-07;0.96015300
2018-02-08;0.95811300
2018-02-09;0.95793000
2018-02-12;0.95769800
2018-02-13;0.95756600
2018-02-14;0.95749800
2018-02-15;0.95734500
2018-02-16;0.95728200
2018-02-19;0.95721700
2018-02-20;0.95744100
2018-02-21;0.95820500
2018-02-22;0.95765300
2018-02-23;0.95706100
2018-02-26;0.95692500
2018-02-27;0.95692600
2018-02-28;0.95704700
2018-03-01;0.95702200
2018-03-02;0.95690500
2018-03-05;0.95675400
2018-03-06;0.95671100
2018-03-07;0.95580100
2018-03-08;0.95574300
2018-03-09;0.95577900
2018-03-12;0.95564000
2018-03-13;0.95558700
2018-03-14;0.95533400
2018-03-19;0.95674300
2018-03-20;0.95665100
2018-03-21;0.95697000
2018-03-22;0.96107000
2018-03-23;0.96328400
2018-03-26;0.95999100
2018-03-27;0.95619500
2018-03-28;0.95480700
2018-03-29;0.95783900
2018-04-03;0.95087500
2018-04-04;0.95627600
2018-04-05;0.95875300
2018-04-06;0.94924600
2018-04-09;0.95132100
2018-04-10;0.95733800
2018-04-11;0.95492900
2018-04-12;0.95661900
2018-04-13;0.95681200
2018-04-16;0.96003200
2018-04-17;0.96368200
2018-04-18;0.96450700
2018-04-19;0.96220400
2018-04-20;0.95926000
2018-04-23;0.96008900
2018-04-24;0.95409800
2018-04-25;0.95591500
2018-04-26;0.96165300
2018-04-27;0.96160900
2018-05-02;0.95480100
2018-05-03;0.95511800
2018-05-04;0.95955300
2018-05-07;0.96114200
2018-05-08;0.96056000
2018-05-09;0.96517200
2018-05-10;0.96842800
2018-05-11;0.96916200
2018-05-14;0.96947200
2018-05-15;0.96715700
2018-05-16;0.96957300
2018-05-17;0.96947500
2018-05-18;0.96914400
2018-05-22;0.97085500
2018-05-23;0.97038300
2018-05-24;0.96969300
2018-05-25;0.96814800
2018-05-28;0.96791800
2018-05-29;0.96315000
2018-05-30;0.96793100
2018-05-31;0.96512600
2018-06-01;0.97000000
2018-06-04;0.97201400
2018-06-05;0.97323300
2018-06-06;0.97672200
2018-06-07;0.97609700
2018-06-08;0.97666500
2018-06-11;0.97827900
2018-06-12;0.97887100
2018-06-13;0.97779000
2018-06-14;0.97910900
2018-06-15;0.98029400
2018-06-18;0.97934500
2018-06-19;0.97648400
2018-06-20;0.97760500
2018-06-21;0.97558100
2018-06-22;0.97545000
2018-06-25;0.97154900
2018-06-26;0.97187700
2018-06-27;0.97177300
2018-06-28;0.97383800
2018-06-29;0.97435500
2018-07-02;0.97480500
2018-07-03;0.97352200
2018-07-04;0.97231600
2018-07-05;0.97389200
2018-07-06;0.97544800
2018-07-09;0.97648900
2018-07-10;0.97833300
2018-07-11;0.97659000
2018-07-12;0.98017000
2018-07-13;0.98045200
2018-07-16;0.98004000
2018-07-17;0.98072400
2018-07-18;0.98270100
2018-07-19;0.98149000
2018-07-20;0.98085400
2018-07-23;0.97960600
2018-07-24;0.98112400
2018-07-25;0.98250100
2018-07-26;0.98139800
2018-07-27;0.98071200
2018-07-30;0.97940500
2018-07-31;0.98058000
2018-08-01;0.98124200
2018-08-02;0.98029700
2018-08-03;0.98103800
2018-08-06;0.98007300
2018-08-07;0.97972600
2018-08-08;0.97909100
2018-08-09;0.97942900
2018-08-10;0.98119500
2018-08-13;0.98074900
2018-08-14;0.98017300
2018-08-15;0.98147900
2018-08-16;0.98074000
2018-08-17;0.98063700
2018-08-21;0.98098000
2018-08-22;0.98145800
2018-08-23;0.98141500
2018-08-24;0.98124400
2018-08-27;0.98121000
2018-08-28;0.98012200
2018-08-29;0.98042800
2018-08-30;0.97967200
2018-08-31;0.98025300
2018-09-03;0.98019600
2018-09-04;0.97778800
2018-09-05;0.97786700
2018-09-06;0.97878900
2018-09-07;0.97620600
2018-09-10;0.97613800
2018-09-11;0.97416300
2018-09-12;0.97368300
2018-09-13;0.97358900
2018-09-14;0.97355500
2018-09-17;0.97347500
2018-09-18;0.97312400
2018-09-19;0.97435600
2018-09-20;0.97684900
2018-09-21;0.97836200
2018-09-24;0.97666500
2018-09-25;0.97727700
2018-09-26;0.97806900
2018-09-27;0.97903100
2018-09-28;0.97629000
2018-10-01;0.97683000
2018-10-02;0.97505000
2018-10-03;0.97632500
2018-10-04;0.97227900
2018-10-05;0.96884900
2018-10-08;0.96873700
2018-10-09;0.96865900
2018-10-10;0.96861000
2018-10-11;0.96858200
2018-10-12;0.96851900
2018-10-15;0.96842700
2018-10-16;0.96840600
2018-10-17;0.96894400
2018-10-18;0.96767500
2018-10-19;0.96772100
2018-10-24;0.96604600
2018-10-25;0.96602100
2018-10-26;0.96601400
2018-10-29;0.96587400
2018-10-30;0.96663400
2018-10-31;0.96743600
2018-11-05;0.96821100
2018-11-06;0.96882400
2018-11-07;0.97063500
2018-11-08;0.97041500
2018-11-09;0.96947800
2018-11-12;0.96766900
2018-11-13;0.96763000
2018-11-14;0.96432200
2018-11-15;0.96547400
2018-11-16;0.96526000
2018-11-19;0.96334900
2018-11-20;0.96094700
2018-11-21;0.95985700
2018-11-22;0.95979300
2018-11-23;0.95891400
2018-11-26;0.95911900
2018-11-27;0.96020400
2018-11-28;0.96498900
2018-11-29;0.96534500
2018-11-30;0.96651800
2018-12-03;0.96867100
2018-12-04;0.96211100
