datum;nee
2010-06-07;10.00000000
2010-06-08;10.05774000
2010-06-09;10.04800000
2010-06-10;10.04013000
2010-06-11;10.05721600
2010-06-14;10.08465800
2010-06-15;10.12195400
2010-06-16;10.12157800
2010-06-17;10.13136400
2010-06-18;10.13588500
2010-06-21;10.13409800
2010-06-22;10.10300100
2010-06-23;10.08416900
2010-06-24;10.08258600
2010-06-25;10.11380300
2010-06-28;10.11290400
2010-06-29;10.11613400
2010-06-30;10.11656100
2010-07-01;10.12251800
2010-07-02;10.11208700
2010-07-05;10.11321700
2010-07-06;10.12187200
2010-07-07;10.12893500
2010-07-08;10.13454900
2010-07-09;10.14390400
2010-07-12;10.13535700
2010-07-13;10.19079300
2010-07-14;10.19100200
2010-07-15;10.16546400
2010-07-16;10.10325800
2010-07-19;10.08147100
2010-07-20;10.11266900
2010-07-21;10.02229500
2010-07-22;10.02093100
2010-07-23;10.02757600
2010-07-26;10.05416200
2010-07-27;10.06208500
2010-07-28;10.05633400
2010-07-29;10.03368800
2010-07-30;10.02228900
2010-08-02;10.05425900
2010-08-03;10.05973300
2010-08-04;10.06925900
2010-08-05;10.07009000
2010-08-06;10.04709300
2010-08-09;10.07225000
2010-08-10;10.05072600
2010-08-11;10.10351300
2010-08-12;10.09015600
2010-08-13;10.07577600
2010-08-16;10.06639200
2010-08-17;10.07674100
2010-08-18;10.05695200
2010-08-19;10.04694900
2010-08-23;10.04186700
2010-08-24;10.07051500
2010-08-25;10.05834800
2010-08-26;10.05625400
2010-08-27;10.07176200
2010-08-30;10.05956700
2010-08-31;10.05903500
2010-09-01;10.08225500
2010-09-02;10.09723500
2010-09-03;10.12618500
2010-09-06;10.12555300
2010-09-07;10.09932200
2010-09-08;10.11746600
2010-09-09;10.12884100
2010-09-10;10.14261500
2010-09-13;10.16770500
2010-09-14;10.16461000
2010-09-15;10.17719800
2010-09-16;10.18048000
2010-09-17;10.17216500
2010-09-20;10.20534800
2010-09-21;10.20034900
2010-09-22;10.19245000
2010-09-23;10.17170300
2010-09-24;10.21687600
2010-09-27;10.20670400
2010-09-28;10.21134500
2010-09-29;10.20938500
2010-09-30;10.19046000
2010-10-01;10.19500100
2010-10-04;10.18048800
2010-10-05;10.21789800
2010-10-06;10.21908800
2010-10-07;10.21805900
2010-10-08;10.22698500
2010-10-11;10.22826000
2010-10-12;10.23093900
2010-10-13;10.26025900
2010-10-14;10.26010800
2010-10-15;10.26314700
2010-10-18;10.27061100
2010-10-19;10.24168700
2010-10-20;10.26163700
2010-10-21;10.26536600
2010-10-22;10.27676200
2010-10-25;10.27667300
2010-10-26;10.27627900
2010-10-27;10.27125600
2010-10-28;10.27193000
2010-10-29;10.27369600
2010-11-02;10.29231700
2010-11-03;10.30114000
2010-11-04;10.34790600
2010-11-05;10.34647700
2010-11-08;10.35603100
2010-11-09;10.33420000
2010-11-10;10.34211000
2010-11-11;10.32839900
2010-11-12;10.29105900
2010-11-15;10.29132400
2010-11-16;10.24959800
2010-11-17;10.25690400
2010-11-18;10.29916100
2010-11-19;10.29645200
2010-11-22;10.29494500
2010-11-23;10.25531200
2010-11-24;10.29194900
2010-11-25;10.29149600
2010-11-26;10.26089300
2010-11-29;10.26669000
2010-11-30;10.24839900
2010-12-01;10.29921600
2010-12-02;10.33738200
2010-12-03;10.33693300
2010-12-06;10.33007000
2010-12-07;10.33409600
2010-12-08;10.35399000
2010-12-09;10.36360100
2010-12-10;10.37667600
2010-12-13;10.37197000
2010-12-14;10.37233000
