datum;nee
2022-08-04;1.00000000
2022-08-05;0.99794000
2022-08-08;0.99861700
2022-08-09;0.99946100
2022-08-10;0.99897300
2022-08-11;0.99895900
2022-08-12;0.99917500
2022-08-15;0.99981600
2022-08-16;1.00005300
2022-08-17;1.00028400
2022-08-18;1.00051700
2022-08-19;1.00075100
2022-08-22;1.00144700
2022-08-23;1.00159700
2022-08-24;1.00173300
2022-08-25;1.00187700
2022-08-26;1.00202900
2022-08-29;1.00247600
2022-08-30;1.00264400
2022-08-31;1.00282700
2022-09-01;1.00284900
2022-09-02;1.00303500
2022-09-05;1.00357100
2022-09-06;1.00375800
2022-09-07;1.00394300
2022-09-08;1.00354600
2022-09-09;1.00335100
2022-09-12;1.00387100
2022-09-13;1.00379400
2022-09-14;1.00497300
2022-09-15;1.00562300
2022-09-16;1.00749200
2022-09-19;1.00734400
2022-09-20;1.00844300
2022-09-21;1.00813400
2022-09-22;1.01062800
2022-09-23;1.01195500
2022-09-26;1.01625100
2022-09-27;1.01652200
2022-09-28;1.01803100
2022-09-29;1.01902300
2022-09-30;1.01682000
2022-10-03;1.01931000
2022-10-04;1.02076500
2022-10-05;1.01962600
2022-10-06;1.01935100
2022-10-07;1.01933100
2022-10-10;1.01849600
2022-10-11;1.01783900
2022-10-12;1.01681700
2022-10-13;1.01858800
2022-10-14;1.01526600
2022-10-17;1.01832400
2022-10-18;1.01906600
2022-10-19;1.02047900
2022-10-20;1.02138300
2022-10-21;1.02524000
2022-10-24;1.02491300
2022-10-25;1.02731100
2022-10-26;1.03395400
2022-10-27;1.03246300
2022-10-28;1.03273800
2022-11-02;1.02917600
2022-11-03;1.03010500
2022-11-04;1.03683800
2022-11-07;1.04022900
2022-11-08;1.03825200
2022-11-09;1.02499700
2022-11-10;1.02827500
2022-11-11;1.03586600
2022-11-14;1.03594100
2022-11-15;1.03787100
2022-11-16;1.03828600
2022-11-17;1.03904700
2022-11-18;1.04015200
2022-11-21;1.04141200
2022-11-22;1.04115100
2022-11-23;1.03999400
2022-11-24;1.04325400
2022-11-25;1.04149700
2022-11-28;1.04568900
2022-11-29;1.04498200
2022-11-30;1.04032700
2022-12-01;1.04529100
2022-12-02;1.04925200
2022-12-05;1.04633400
2022-12-06;1.04356500
2022-12-07;1.04180400
2022-12-08;1.04243800
2022-12-09;1.05018700
2022-12-12;1.04587200
2022-12-13;1.03230300
2022-12-14;1.03340600
2022-12-15;1.03209700
2022-12-16;1.03311500
2022-12-19;1.03393700
2022-12-20;1.03610200
2022-12-21;1.03720300
2022-12-22;1.03784700
2022-12-23;1.03742900
2022-12-27;1.03978600
2022-12-28;1.04013200
2022-12-29;1.04477100
2022-12-30;1.04400100
2022-12-31;1.04445100
2023-01-02;1.04733100
2023-01-03;1.04672100
2023-01-04;1.04105500
2023-01-05;1.03517900
2023-01-06;1.03574500
2023-01-09;1.02843600
2023-01-10;1.02904000
2023-01-11;1.02725700
2023-01-12;1.02384400
2023-01-13;1.02188000
2023-01-16;1.02679500
2023-01-17;1.02999900
2023-01-18;1.02408100
2023-01-19;1.02473900
2023-01-20;1.02680200
2023-01-23;1.03001400
2023-01-24;1.02825900
2023-01-25;1.02808500
2023-01-26;1.03111200
2023-01-27;1.03513700
2023-01-30;1.04027600
2023-01-31;1.03848300
2023-02-01;1.03863500
2023-02-02;1.02985600
2023-02-03;1.03511700
2023-02-06;1.04337600
2023-02-07;1.04688800
2023-02-08;1.04438900
2023-02-09;1.03860100
2023-02-10;1.04497700
2023-02-13;1.04683400
2023-02-14;1.04966100
2023-02-15;1.04934000
2023-02-16;1.05308500
2023-02-17;1.05747300
2023-02-20;1.05796000
2023-02-21;1.06370800
2023-02-22;1.05978700
2023-02-23;1.06025800
2023-02-24;1.06517900
2023-02-27;1.06283900
2023-02-28;1.06391900
2023-03-01;1.06957200
2023-03-02;1.06704800
2023-03-03;1.06042000
2023-03-06;1.06189000
2023-03-07;1.06301200
2023-03-08;1.06762700
2023-03-09;1.06880400
2023-03-10;1.05518800
2023-03-13;1.04406200
2023-03-14;1.04238200
2023-03-16;1.04837900
2023-03-17;1.04755300
2023-03-20;1.04587600
2023-03-21;1.04582700
2023-03-22;1.04347000
2023-03-23;1.04789700
2023-03-24;1.04485600
2023-03-27;1.04163700
2023-03-28;1.04595600
2023-03-29;1.04657800
2023-03-30;1.05273000
2023-03-31;1.05059900
2023-04-03;1.05479100
2023-04-04;1.06021000
2023-04-05;1.05776700
2023-04-06;1.06109000
2023-04-11;1.06099400
2023-04-12;1.06549600
2023-04-13;1.07492200
2023-04-14;1.06349700
2023-04-17;1.06413800
2023-04-18;1.06904500
2023-04-19;1.06225900
2023-04-20;1.05592700
2023-04-21;1.05512300
2023-04-24;1.05453700
2023-04-25;1.05577800
2023-04-26;1.05353600
2023-04-27;1.05674900
2023-04-28;1.05395300
2023-05-02;1.05351100
2023-05-03;1.05751600
2023-05-04;1.06287000
2023-05-05;1.05979100
2023-05-08;1.06091500
2023-05-09;1.06356400
2023-05-10;1.06125300
2023-05-11;1.05806200
2023-05-12;1.05884500
2023-05-15;1.05779100
2023-05-16;1.04866200
2023-05-17;1.05055400
2023-05-18;1.05209100
2023-05-19;1.05218800
2023-05-22;1.05441300
2023-05-23;1.05592900
2023-05-24;1.05654200
2023-05-25;1.06117200
2023-05-26;1.05945200
2023-05-30;1.06284700
2023-05-31;1.06563200
2023-06-01;1.06441400
2023-06-02;1.06067700
2023-06-05;1.06503800
2023-06-06;1.06434000
2023-06-07;1.06472000
2023-06-08;1.06487900
2023-06-09;1.06229200
2023-06-12;1.05983900
2023-06-13;1.05260600
2023-06-14;1.05237000
2023-06-15;1.04793400
2023-06-16;1.05117600
2023-06-19;1.05358300
2023-06-20;1.05504600
2023-06-21;1.05104300
2023-06-22;1.05562300
2023-06-23;1.05378200
2023-06-26;1.04666900
2023-06-27;1.04531600
2023-06-28;1.04394600
2023-06-29;1.05112400
2023-06-30;1.04874500
2023-07-03;1.05441900
2023-07-04;1.05500600
2023-07-05;1.06255600
2023-07-06;1.07556200
2023-07-07;1.07967100
2023-07-10;1.07763700
2023-07-11;1.07461700
2023-07-12;1.07099000
2023-07-13;1.06388300
2023-07-14;1.06778300
2023-07-17;1.06738000
2023-07-18;1.06491200
2023-07-19;1.06675600
2023-07-20;1.07485900
2023-07-21;1.08028700
2023-07-24;1.08172600
2023-07-25;1.08218500
2023-07-26;1.07803100
2023-07-27;1.08545900
2023-07-28;1.08243500
2023-07-31;1.08152300
2023-08-01;1.09502100
2023-08-02;1.09622300
2023-08-03;1.10251000
2023-08-04;1.09665900
2023-08-07;1.09681500
2023-08-08;1.09714600
2023-08-09;1.10026800
2023-08-10;1.10383300
2023-08-11;1.11020500
2023-08-14;1.11377000
2023-08-15;1.11998100
2023-08-16;1.12254700
2023-08-17;1.12826300
2023-08-18;1.12558700
2023-08-21;1.12954100
2023-08-22;1.13129700
2023-08-23;1.11861100
2023-08-24;1.11707300
2023-08-25;1.12024300
2023-08-28;1.11776000
2023-08-29;1.10436700
2023-08-30;1.10202900
2023-08-31;1.09904600
2023-09-01;1.10526100
2023-09-04;1.10792800
2023-09-05;1.11842900
2023-09-06;1.12408100
2023-09-07;1.12171700
2023-09-08;1.12104800
2023-09-11;1.12045500
2023-09-12;1.12366600
2023-09-13;1.12353700
2023-09-14;1.12209500
2023-09-15;1.12362200
2023-09-18;1.12652600
2023-09-19;1.12844200
2023-09-20;1.12861200
2023-09-21;1.14127100
2023-09-25;1.14997900
2023-09-26;1.15503800
2023-09-27;1.17127300
2023-09-28;1.17759700
2023-09-29;1.16779000
2023-10-02;1.16549700
2023-10-03;1.17965500
2023-10-04;1.17504600
2023-10-05;1.17477300
2023-10-06;1.16844600
2023-10-09;1.18182900
2023-10-10;1.16434400
2023-10-11;1.15358800
2023-10-12;1.15673400
2023-10-13;1.17535100
2023-10-16;1.16955400
2023-10-17;1.16346600
2023-10-18;1.17260000
2023-10-19;1.18503800
2023-10-20;1.19126000
2023-10-24;1.18154700
2023-10-25;1.19330700
2023-10-26;1.19278700
2023-10-27;1.18899200
2023-10-30;1.18297400
2023-10-31;1.17371900
2023-11-02;1.19214400
2023-11-03;1.18941600
2023-11-06;1.17879600
2023-11-07;1.18207500
2023-11-08;1.18074500
2023-11-09;1.17142800
2023-11-10;1.17296400
2023-11-13;1.17121600
2023-11-14;1.16536900
2023-11-15;1.16620100
2023-11-16;1.16289400
2023-11-17;1.16371400
2023-11-20;1.16534200
2023-11-21;1.17117500
2023-11-22;1.17138500
2023-11-23;1.16881800
2023-11-24;1.17241700
2023-11-27;1.17300500
2023-11-28;1.17550400
2023-11-29;1.17256200
2023-11-30;1.17694200
2023-12-01;1.17803600
2023-12-04;1.17424300
2023-12-05;1.16748300
2023-12-06;1.17028000
2023-12-07;1.18415000
2023-12-08;1.19145900
2023-12-11;1.18896200
2023-12-12;1.19085700
2023-12-13;1.18135600
2023-12-14;1.17634600
2023-12-15;1.17502600
2023-12-18;1.18253300
2023-12-19;1.18055300
2023-12-20;1.18475600
2023-12-21;1.18272100
2023-12-22;1.18670700
2023-12-27;1.18897900
2023-12-28;1.19119200
2023-12-29;1.19470500
2023-12-31;1.19481900
2024-01-02;1.18697400
2024-01-03;1.18125500
2024-01-04;1.17849900
2024-01-05;1.18023600
2024-01-08;1.18175300
2024-01-09;1.18806200
2024-01-10;1.18738700
2024-01-11;1.18989500
2024-01-12;1.18549100
2024-01-15;1.18677100
2024-01-16;1.19086100
2024-01-17;1.19733000
2024-01-18;1.20451900
2024-01-19;1.21508800
2024-01-22;1.21650800
2024-01-23;1.22125400
2024-01-24;1.22877200
2024-01-25;1.23032300
2024-01-26;1.22439000
2024-01-29;1.22408500
2024-01-30;1.22233400
2024-01-31;1.21473700
2024-02-01;1.21670200
2024-02-02;1.20653600
2024-02-05;1.21129700
2024-02-06;1.21371400
2024-02-07;1.21397900
2024-02-08;1.21988500
2024-02-09;1.22917700
2024-02-12;1.22713900
2024-02-13;1.23959800
2024-02-14;1.24428700
2024-02-15;1.24413400
2024-02-16;1.24217700
2024-02-19;1.24431200
2024-02-20;1.23448600
2024-02-21;1.23912400
2024-02-22;1.23820200
2024-02-23;1.23495300
2024-02-26;1.23966600
2024-02-27;1.25289900
2024-02-28;1.26111500
2024-02-29;1.25173400
2024-03-01;1.24438700
2024-03-04;1.24573300
2024-03-05;1.24567300
2024-03-06;1.24674000
2024-03-07;1.25981500
2024-03-08;1.24903700
2024-03-11;1.24792900
2024-03-12;1.24583700
2024-03-13;1.25689900
2024-03-14;1.25114300
2024-03-18;1.26081000
2024-03-19;1.25503700
2024-03-20;1.25656200
2024-03-21;1.26407500
2024-03-22;1.25737900
2024-03-25;1.26012000
2024-03-26;1.25692400
2024-03-27;1.26241300
2024-03-28;1.27332400
2024-04-02;1.28887000
2024-04-03;1.30463800
2024-04-04;1.29849200
2024-04-05;1.30297500
2024-04-08;1.30499000
2024-04-09;1.30033900
2024-04-10;1.30712300
2024-04-11;1.31585400
2024-04-12;1.32805400
2024-04-15;1.33315600
2024-04-16;1.32873400
2024-04-17;1.32948300
2024-04-18;1.32654800
2024-04-19;1.33425400
2024-04-22;1.32669000
2024-04-23;1.32485600
2024-04-24;1.32076000
2024-04-25;1.32282700
2024-04-26;1.32410400
2024-04-29;1.33321300
2024-04-30;1.31978300
2024-05-02;1.33106500
2024-05-03;1.32518600
2024-05-06;1.33973500
2024-05-07;1.34864500
2024-05-08;1.33509700
2024-05-09;1.34632700
2024-05-10;1.35189300
2024-05-13;1.34970700
2024-05-14;1.35455200
2024-05-15;1.36761000
2024-05-16;1.35869900
2024-05-17;1.37576800
2024-05-21;1.39121200
2024-05-22;1.37542900
2024-05-23;1.35903700
2024-05-24;1.35946600
2024-05-27;1.35876100
2024-05-28;1.36200600
2024-05-29;1.35755800
2024-05-30;1.36204300
2024-05-31;1.35727300
2024-06-03;1.36181700
2024-06-04;1.36238500
2024-06-05;1.37223800
2024-06-06;1.37778100
2024-06-07;1.34231600
2024-06-10;1.34331800
2024-06-11;1.34779500
2024-06-12;1.35245500
2024-06-13;1.36002000
2024-06-14;1.35898200
2024-06-17;1.35108700
2024-06-18;1.35301600
2024-06-19;1.35323600
2024-06-20;1.35382500
2024-06-21;1.34508700
2024-06-24;1.34608900
2024-06-25;1.34314600
2024-06-26;1.33627500
2024-06-27;1.33655400
2024-06-28;1.33670000
2024-07-01;1.33745700
2024-07-02;1.33724600
2024-07-03;1.33804100
2024-07-04;1.33854700
2024-07-05;1.34477000
2024-07-08;1.34018300
2024-07-09;1.33859200
2024-07-10;1.34182300
2024-07-11;1.34535700
2024-07-12;1.34602600
2024-07-15;1.34871300
2024-07-16;1.35906600
2024-07-17;1.35132900
2024-07-18;1.34509600
2024-07-19;1.32319600
2024-07-22;1.32420100
2024-07-23;1.32406200
2024-07-24;1.32472800
2024-07-25;1.32494400
2024-07-26;1.32563400
2024-07-29;1.32643100
2024-07-30;1.32493600
2024-07-31;1.32821900
2024-08-01;1.33194400
2024-08-02;1.33310700
2024-08-05;1.32506700
2024-08-06;1.33039000
2024-08-07;1.33059900
2024-08-08;1.33213400
2024-08-09;1.33297200
2024-08-12;1.33154100
2024-08-13;1.32820600
2024-08-14;1.32451600
2024-08-15;1.32475600
2024-08-16;1.32644100
2024-08-21;1.33376700
2024-08-22;1.32051400
2024-08-23;1.32061600
2024-08-26;1.32414300
2024-08-27;1.32373800
2024-08-28;1.31672400
2024-08-29;1.32280300
2024-08-30;1.31196800
2024-09-02;1.31258200
2024-09-03;1.31177700
2024-09-04;1.31081500
2024-09-05;1.31663700
2024-09-06;1.31379300
2024-09-09;1.31584500
2024-09-10;1.32197100
2024-09-11;1.32610500
2024-09-12;1.32885200
2024-09-13;1.34233900
2024-09-16;1.34473700
2024-09-17;1.33619300
2024-09-18;1.33054000
2024-09-19;1.34379800
2024-09-20;1.34986000
2024-09-23;1.34881900
2024-09-24;1.37373200
2024-09-25;1.37157200
2024-09-26;1.37764300
2024-09-27;1.37678400
2024-09-30;1.36356100
2024-10-01;1.36774400
2024-10-02;1.37152800
2024-10-03;1.38125300
2024-10-04;1.38483700
2024-10-07;1.37666500
2024-10-08;1.36426800
2024-10-09;1.36952400
2024-10-10;1.36651400
2024-10-11;1.37342400
2024-10-14;1.38062300
2024-10-15;1.37572000
2024-10-16;1.37736600
2024-10-17;1.37913400
2024-10-18;1.38657700
2024-10-21;1.38965300
2024-10-22;1.39974300
2024-10-24;1.38321800
2024-10-25;1.38715600
2024-10-28;1.39274400
2024-10-29;1.40245200
2024-10-30;1.40599800
2024-10-31;1.39403500
2024-11-04;1.38366900
2024-11-05;1.38367100
2024-11-06;1.38401400
2024-11-07;1.38064200
2024-11-08;1.38129800
2024-11-11;1.38438300
2024-11-12;1.38751100
2024-11-13;1.38747800
2024-11-14;1.38571300
2024-11-15;1.39026400
2024-11-18;1.39138600
2024-11-19;1.39097000
2024-11-20;1.38407800
2024-11-21;1.39045900
2024-11-22;1.39904400
2024-11-25;1.39224700
2024-11-26;1.38953200
2024-11-27;1.40402100
2024-11-28;1.40058400
2024-11-29;1.40588600
2024-12-02;1.40575500
2024-12-03;1.40943000
2024-12-04;1.40660300
2024-12-05;1.40462500
2024-12-06;1.40925500
2024-12-09;1.40621200
2024-12-10;1.40916900
2024-12-11;1.41211200
2024-12-12;1.39948500
2024-12-13;1.40338200
2024-12-16;1.40241200
2024-12-17;1.40504400
2024-12-18;1.40562000
2024-12-19;1.41643200
2024-12-20;1.40844300
2024-12-23;1.40245500
2024-12-30;1.39280100
2024-12-31;1.39280300
2025-01-02;1.39369700
2025-01-03;1.39399200
2025-01-06;1.39427800
2025-01-07;1.39441300
2025-01-08;1.39312000
2025-01-09;1.39694400
2025-01-10;1.39744500
2025-01-13;1.38848200
2025-01-14;1.38890600
2025-01-15;1.40150700
2025-01-16;1.40790100
2025-01-17;1.41347000
2025-01-20;1.41378900
2025-01-21;1.41287000
2025-01-22;1.41319800
2025-01-23;1.41860400
2025-01-24;1.42611800
2025-01-27;1.40743000
2025-01-28;1.41083300
2025-01-29;1.41114800
2025-01-30;1.42219400
2025-01-31;1.41639600
2025-02-03;1.41396000
2025-02-04;1.42095300
2025-02-05;1.42699500
2025-02-06;1.42042300
2025-02-07;1.41140600
2025-02-10;1.41799100
2025-02-11;1.41647000
2025-02-12;1.40821500
2025-02-13;1.40642300
2025-02-14;1.40579300
2025-02-17;1.40673200
2025-02-18;1.40406700
2025-02-19;1.40669100
2025-02-20;1.40532300
2025-02-21;1.41358800
2025-02-24;1.41481400
2025-02-25;1.41244000
2025-02-26;1.41465000
2025-02-27;1.41155800
2025-02-28;1.42249000
2025-03-03;1.42506700
2025-03-04;1.42136400
2025-03-05;1.42857600
2025-03-06;1.43624200
2025-03-07;1.43126900
2025-03-10;1.43510100
2025-03-11;1.43852100
2025-03-12;1.43920700
