datum;nee
2022-08-04;1.00000000
2022-08-05;1.00351300
2022-08-08;1.00323300
2022-08-09;1.00374400
2022-08-10;1.00302400
2022-08-11;1.00312600
2022-08-12;1.00264900
2022-08-15;1.00240400
2022-08-16;1.00232000
2022-08-17;1.00227700
2022-08-18;1.00222000
2022-08-19;1.00216300
2022-08-22;1.00202200
2022-08-23;1.00449000
2022-08-24;1.00457700
2022-08-25;1.00461200
2022-08-26;1.00459000
2022-08-29;1.00430100
2022-08-30;1.00443000
2022-08-31;1.00504200
2022-09-01;1.00467800
2022-09-02;1.00460400
2022-09-05;1.00423900
2022-09-06;1.00414000
2022-09-07;1.00403000
2022-09-08;1.00025100
2022-09-09;0.99927900
2022-09-12;0.99888800
2022-09-13;0.99828700
2022-09-14;0.99993200
2022-09-15;1.00062200
2022-09-16;1.00329600
2022-09-19;1.00187200
2022-09-20;1.00320700
2022-09-21;1.00214600
2022-09-22;1.00566600
2022-09-23;1.00723800
2022-09-26;1.01194900
2022-09-27;1.01189700
2022-09-28;1.01515700
2022-09-29;1.01586600
2022-09-30;1.01199800
2022-10-03;1.01460500
2022-10-04;1.01672900
2022-10-05;1.01436100
2022-10-06;1.01352700
2022-10-07;1.01298600
2022-10-10;1.01043200
2022-10-11;1.00900800
2022-10-12;1.00701200
2022-10-13;1.00911400
2022-10-14;1.00703200
2022-10-17;1.01074100
2022-10-18;1.01134100
2022-10-19;1.01282500
2022-10-20;1.01361200
2022-10-21;1.01853900
2022-10-24;1.01659800
2022-10-25;1.01942800
2022-10-26;1.02841700
2022-10-27;1.02575700
2022-10-28;1.02540100
2022-11-02;1.01797600
2022-11-03;1.01860400
2022-11-04;1.02802000
2022-11-07;1.03120300
2022-11-08;1.02790000
2022-11-09;1.00880400
2022-11-10;1.01300100
2022-11-11;1.02339500
2022-11-14;1.02175200
2022-11-15;1.02385400
2022-11-16;1.02376700
2022-11-17;1.02433000
2022-11-18;1.02395600
2022-11-21;1.02380500
2022-11-22;1.02778600
2022-11-23;1.02567600
2022-11-24;1.02888200
2022-11-25;1.02647400
2022-11-28;1.03026300
2022-11-29;1.02901200
2022-11-30;1.02331900
2022-12-01;1.02875100
2022-12-02;1.03331600
2022-12-05;1.02911000
2022-12-06;1.02588700
2022-12-07;1.02388800
2022-12-08;1.02440900
2022-12-09;1.03331200
2022-12-12;1.02723200
2022-12-13;1.01318800
2022-12-14;1.01374500
2022-12-15;1.01197800
2022-12-16;1.01270300
2022-12-19;1.01236800
2022-12-20;1.01416100
2022-12-21;1.01489100
2022-12-22;1.01512400
2022-12-23;1.01430900
2022-12-27;1.01515000
2022-12-28;1.01501600
2022-12-29;1.02098700
2022-12-30;1.01989100
2022-12-31;1.01997500
2023-01-02;1.02204000
2023-01-03;1.02110100
2023-01-04;1.01485100
2023-01-05;1.00856600
2023-01-06;1.00867100
2023-01-09;1.00025300
2023-01-10;1.00043200
2023-01-11;0.99840200
2023-01-12;0.99461300
2023-01-13;0.99204600
2023-01-16;0.99559900
2023-01-17;0.99827500
2023-01-18;0.99179700
2023-01-19;0.99203800
2023-01-20;0.99362600
2023-01-23;0.99546400
2023-01-24;0.99296900
2023-01-25;0.99223100
2023-01-26;0.99470800
2023-01-27;0.99810200
2023-01-30;1.00192900
2023-01-31;0.99960300
2023-02-01;0.99937400
2023-02-02;0.99024400
2023-02-03;0.99491400
2023-02-06;1.00152000
2023-02-07;1.00456300
2023-02-08;1.00155600
2023-02-09;0.99526800
2023-02-10;1.00114500
2023-02-13;1.00193200
2023-02-14;1.00389700
2023-02-15;1.00294500
2023-02-16;1.00616100
2023-02-17;1.01012500
2023-02-20;1.00899600
2023-02-21;1.01513700
2023-02-22;1.00927100
2023-02-23;1.00947600
2023-02-24;1.01468100
2023-02-27;1.01056300
2023-02-28;1.01130400
2023-03-01;1.01763000
2023-03-02;1.01432500
2023-03-03;1.00587100
2023-03-06;1.00627500
2023-03-07;1.00707200
2023-03-08;1.01182200
2023-03-09;1.01289200
2023-03-10;0.99802300
2023-03-13;0.98668700
2023-03-14;0.98526400
2023-03-16;0.99071000
2023-03-17;0.98928700
2023-03-20;0.98628300
2023-03-21;0.98571700
2023-03-22;0.98285400
2023-03-23;0.98657200
2023-03-24;0.98325500
2023-03-27;0.97922000
2023-03-28;0.98295600
2023-03-29;0.98296500
2023-03-30;0.98830400
2023-03-31;0.98598100
2023-04-03;0.98879100
2023-04-04;0.99347400
2023-04-05;0.99082700
2023-04-06;0.99353500
2023-04-11;0.99153800
2023-04-12;0.99534200
2023-04-13;1.00460200
2023-04-14;0.99266900
2023-04-17;0.99206600
2023-04-18;0.99630000
2023-04-19;0.98968900
2023-04-20;0.98344000
2023-04-21;0.98216000
2023-04-24;0.98043600
2023-04-25;0.98123800
2023-04-26;0.97877000
2023-04-27;0.98305900
2023-04-28;0.98001900
2023-05-02;0.97787800
2023-05-03;0.98131800
2023-05-04;0.98579300
2023-05-05;0.98255100
2023-05-08;0.98230800
2023-05-09;0.98429300
2023-05-10;0.98172500
2023-05-11;0.97833900
2023-05-12;0.97869800
2023-05-15;0.97639400
2023-05-16;0.96752700
2023-05-17;0.96882700
2023-05-18;0.97014400
2023-05-19;0.97019400
2023-05-22;0.97089200
2023-05-23;0.97195100
2023-05-24;0.97166600
2023-05-25;0.97542100
2023-05-26;0.97333900
2023-05-30;0.97474300
2023-05-31;0.97691400
2023-06-01;0.97536200
2023-06-02;0.97157600
2023-06-05;0.97424400
2023-06-06;0.97315700
2023-06-07;0.97306500
2023-06-08;0.97286400
2023-06-09;0.97006800
2023-06-12;0.96673300
2023-06-13;0.95993300
2023-06-14;0.95943200
2023-06-15;0.95528700
2023-06-16;0.95788900
2023-06-19;0.95881700
2023-06-20;0.95970600
2023-06-21;0.95515900
2023-06-22;0.95877400
2023-06-23;0.95682400
2023-06-26;0.94903100
2023-06-27;0.94738900
2023-06-28;0.94607400
2023-06-29;0.95225800
2023-06-30;0.94978300
2023-07-03;0.95421900
2023-07-04;0.95648100
2023-07-05;0.96316900
2023-07-06;0.97424400
2023-07-07;0.97690100
2023-07-10;0.97481400
2023-07-11;0.97218800
2023-07-12;0.96910900
2023-07-13;0.96239300
2023-07-14;0.96581700
2023-07-17;0.96468600
2023-07-18;0.96483900
2023-07-19;0.96627400
2023-07-20;0.97241300
2023-07-21;0.97678100
2023-07-24;0.97723600
2023-07-25;0.97716000
2023-07-26;0.97182600
2023-07-27;0.97832800
2023-07-28;0.97457600
2023-07-31;0.97271800
2023-08-01;0.98390900
2023-08-02;0.98474200
2023-08-03;0.99038900
2023-08-04;0.98451900
2023-08-07;0.98372100
2023-08-08;0.98380000
2023-08-09;0.98656800
2023-08-10;0.99017700
2023-08-11;0.99719400
2023-08-14;1.00050400
2023-08-15;1.00604200
2023-08-16;1.00883700
2023-08-17;1.01515400
2023-08-18;1.01194600
2023-08-21;1.01567400
2023-08-22;1.01727900
2023-08-23;1.00259900
2023-08-24;1.00058400
2023-08-25;1.00372800
2023-08-28;0.99999100
2023-08-29;0.98524700
2023-08-30;0.98207600
2023-08-31;0.97914600
2023-09-01;0.98393200
2023-09-04;0.98567700
2023-09-05;0.99733200
2023-09-06;1.00269000
2023-09-07;0.99912600
2023-09-08;0.99912300
2023-09-11;0.99756900
2023-09-12;1.00045600
2023-09-13;1.00018300
2023-09-14;0.99826100
2023-09-15;0.99962700
2023-09-18;1.00185900
2023-09-19;1.00367900
2023-09-20;1.00354200
2023-09-21;1.01673200
2023-09-25;1.02396100
2023-09-26;1.02936200
2023-09-27;1.04527200
2023-09-28;1.05031200
2023-09-29;1.04178100
2023-10-02;1.04069300
2023-10-03;1.05324900
2023-10-04;1.04884700
2023-10-05;1.04861100
2023-10-06;1.04313900
2023-10-09;1.05411300
2023-10-10;1.03728600
2023-10-11;1.02504600
2023-10-12;1.02816300
2023-10-13;1.04744900
2023-10-16;1.04107600
2023-10-17;1.03409400
2023-10-18;1.04392000
2023-10-19;1.05453200
