datum;nee
2022-08-04;1.00000000
2022-08-05;1.00620100
2022-08-08;1.00618000
2022-08-09;1.00678500
2022-08-10;1.00663000
2022-08-11;1.00641600
2022-08-12;1.00612200
2022-08-15;1.00596100
2022-08-16;1.00582800
2022-08-17;1.00587900
2022-08-18;1.00587300
2022-08-19;1.00582000
2022-08-22;1.00585500
2022-08-23;1.00638100
2022-08-24;1.00648300
2022-08-25;1.00673200
2022-08-26;1.00675200
2022-08-29;1.00657600
2022-08-30;1.00711500
2022-08-31;1.00767400
2022-09-01;1.00747900
2022-09-02;1.00755400
2022-09-05;1.00728200
2022-09-06;1.00724100
2022-09-07;1.00717300
2022-09-08;1.00614700
2022-09-09;1.00545200
2022-09-12;1.00553900
2022-09-13;1.00447400
2022-09-14;1.00600400
2022-09-15;1.00658900
2022-09-16;1.00934800
2022-09-19;1.00822300
2022-09-20;1.00977800
2022-09-21;1.00855900
2022-09-22;1.01195900
2022-09-23;1.01340000
2022-09-26;1.01829200
2022-09-27;1.01818700
2022-09-28;1.02115300
2022-09-29;1.02201800
2022-09-30;1.01855900
2022-10-03;1.02107700
2022-10-04;1.02372800
2022-10-05;1.02154000
2022-10-06;1.02043700
2022-10-07;1.01980100
2022-10-10;1.01717500
2022-10-11;1.01586900
2022-10-12;1.01389200
2022-10-13;1.01591300
2022-10-14;1.01420400
2022-10-17;1.01834900
2022-10-18;1.01919200
2022-10-19;1.02072900
2022-10-20;1.02145000
2022-10-21;1.02643200
2022-10-24;1.02493400
2022-10-25;1.02798100
2022-10-26;1.03797800
2022-10-27;1.03517500
2022-10-28;1.03468100
2022-11-02;1.02764400
2022-11-03;1.02786300
2022-11-04;1.03836900
2022-11-07;1.04206200
2022-11-08;1.03889400
2022-11-09;1.01963900
2022-11-10;1.02438400
2022-11-11;1.03528500
2022-11-14;1.03386100
2022-11-15;1.03637100
2022-11-16;1.03635400
2022-11-17;1.03626800
2022-11-18;1.03628300
2022-11-21;1.03574300
2022-11-22;1.04126400
2022-11-23;1.03937900
2022-11-24;1.04275000
2022-11-25;1.04038300
2022-11-28;1.04478800
2022-11-29;1.04345600
2022-11-30;1.03775500
2022-12-01;1.04338300
2022-12-02;1.04834900
2022-12-05;1.04428100
2022-12-06;1.04080700
2022-12-07;1.03889800
2022-12-08;1.03936100
2022-12-09;1.04862600
2022-12-12;1.04262700
2022-12-13;1.02888300
2022-12-14;1.02958600
2022-12-15;1.02784400
2022-12-16;1.02859000
2022-12-19;1.02851400
2022-12-20;1.03047100
2022-12-21;1.03131500
2022-12-22;1.03165200
2022-12-23;1.03091700
2022-12-27;1.03197100
2022-12-28;1.03197800
2022-12-29;1.03803100
2022-12-30;1.03697200
2022-12-31;1.03711800
2023-01-02;1.03934400
2023-01-03;1.03819400
2023-01-04;1.03217200
2023-01-05;1.02584600
2023-01-06;1.02596400
2023-01-09;1.01745700
2023-01-10;1.01766300
2023-01-11;1.01557400
2023-01-12;1.01174400
2023-01-13;1.00914800
2023-01-16;1.01292800
2023-01-17;1.01571100
2023-01-18;1.00924700
2023-01-19;1.00956900
2023-01-20;1.01122200
2023-01-23;1.01320600
2023-01-24;1.01088200
2023-01-25;1.01026200
2023-01-26;1.01283800
2023-01-27;1.01641300
2023-01-30;1.02031700
2023-01-31;1.01817500
2023-02-01;1.01792600
2023-02-02;1.00862000
2023-02-03;1.01357100
2023-02-06;1.02049800
2023-02-07;1.02357900
2023-02-08;1.02065500
2023-02-09;1.01442900
2023-02-10;1.02037200
2023-02-13;1.02141800
2023-02-14;1.02363500
2023-02-15;1.02284200
2023-02-16;1.02606400
2023-02-17;1.03003200
2023-02-20;1.02910900
2023-02-21;1.03540900
2023-02-22;1.02896100
2023-02-23;1.02908300
2023-02-24;1.03433900
2023-02-27;1.03037300
2023-02-28;1.03136800
2023-03-01;1.03803000
2023-03-02;1.03472200
2023-03-03;1.02622700
2023-03-06;1.02688900
2023-03-07;1.02762200
2023-03-08;1.03224500
2023-03-09;1.03355700
2023-03-10;1.01877500
2023-03-13;1.00798500
2023-03-14;1.00560400
2023-03-16;1.01101300
2023-03-17;1.01017600
2023-03-20;1.00738000
2023-03-21;1.00674500
2023-03-22;1.00409600
2023-03-23;1.00790300
2023-03-24;1.00486600
2023-03-27;1.00066300
2023-03-28;1.00444800
2023-03-29;1.00455100
2023-03-30;1.01006600
2023-03-31;1.00767200
2023-04-03;1.01070600
2023-04-04;1.01561200
2023-04-05;1.01293100
2023-04-06;1.01575700
2023-04-11;1.01386000
2023-04-12;1.01782600
2023-04-13;1.02750800
2023-04-14;1.01523700
2023-04-17;1.01481500
2023-04-18;1.01915400
2023-04-19;1.01241800
2023-04-20;1.00604600
2023-04-21;1.00486900
2023-04-24;1.00320100
2023-04-25;1.00403300
2023-04-26;1.00147500
2023-04-27;1.00563200
2023-04-28;1.00270200
2023-05-02;1.00075300
2023-05-03;1.00417000
2023-05-04;1.00882500
2023-05-05;1.00554000
2023-05-08;1.00544200
2023-05-09;1.00762200
2023-05-10;1.00506300
2023-05-11;1.00170200
2023-05-12;1.00214400
2023-05-15;0.99999400
2023-05-16;0.99092400
2023-05-17;0.99242500
2023-05-18;0.99373100
2023-05-19;0.99377000
2023-05-22;0.99464500
2023-05-23;0.99576400
2023-05-24;0.99561500
2023-05-25;0.99966700
2023-05-26;0.99761200
2023-05-30;0.99935900
2023-05-31;1.00172400
2023-06-01;1.00016800
2023-06-02;0.99615800
2023-06-05;0.99924800
2023-06-06;0.99821100
2023-06-07;0.99819700
2023-06-08;0.99795700
2023-06-09;0.99508200
2023-06-12;0.99180400
2023-06-13;0.98473600
2023-06-14;0.98426300
2023-06-15;0.97988500
2023-06-16;0.98218600
2023-06-19;0.98335300
2023-06-20;0.98429400
2023-06-21;0.98016500
2023-06-22;0.98373400
2023-06-23;0.98219200
2023-06-26;0.97419300
2023-06-27;0.97236700
2023-06-28;0.97095900
2023-06-29;0.97756200
2023-06-30;0.97537400
2023-07-03;0.97983300
2023-07-04;0.98018200
2023-07-05;0.98718400
2023-07-06;0.99923700
2023-07-07;1.00298000
2023-07-10;1.00261000
2023-07-11;0.99943600
2023-07-12;0.99561900
2023-07-13;0.98857500
2023-07-14;0.99177500
2023-07-17;0.99039600
2023-07-18;0.98774700
2023-07-19;0.98909400
2023-07-20;0.99640600
2023-07-21;1.00116200
2023-07-24;1.00148000
2023-07-25;1.00140800
2023-07-26;0.99678600
2023-07-27;1.00320000
2023-07-28;1.00015100
2023-07-31;0.99844900
2023-08-01;1.01061800
2023-08-02;1.01147100
2023-08-03;1.01754400
2023-08-04;1.01131100
2023-08-07;1.01072000
2023-08-08;1.01077300
2023-08-09;1.01340600
2023-08-10;1.01698800
2023-08-11;1.02396500
2023-08-14;1.02839500
2023-08-15;1.03477100
2023-08-16;1.03744700
2023-08-17;1.04371600
2023-08-18;1.04019400
2023-08-21;1.04388800
2023-08-22;1.04562100
2023-08-23;1.03052000
2023-08-24;1.02844600
2023-08-25;1.03159200
2023-08-28;1.02775500
2023-08-29;1.01251300
2023-08-30;1.00966100
2023-08-31;1.00660400
2023-09-01;1.01206300
2023-09-04;1.01374900
2023-09-05;1.02530300
2023-09-06;1.03131700
2023-09-07;1.02817400
2023-09-08;1.02727100
2023-09-11;1.02571600
2023-09-12;1.02899800
2023-09-13;1.02861600
2023-09-14;1.02664700
2023-09-15;1.02802200
2023-09-18;1.03044200
2023-09-19;1.03236600
2023-09-20;1.03226900
2023-09-21;1.04614700
2023-09-25;1.05441200
2023-09-26;1.05981400
2023-09-27;1.07547800
2023-09-28;1.08087500
2023-09-29;1.07229600
2023-10-02;1.06984500
2023-10-03;1.08223400
2023-10-04;1.07771700
2023-10-05;1.07746800
2023-10-06;1.07175700
2023-10-09;1.08424800
2023-10-10;1.06791700
2023-10-11;1.05539200
2023-10-12;1.05867800
2023-10-13;1.07844900
2023-10-16;1.07254100
2023-10-17;1.06599900
2023-10-18;1.07516000
2023-10-19;1.08606200
2023-10-20;1.09107000
2023-10-24;1.08135000
2023-10-25;1.09126800
2023-10-26;1.09056500
2023-10-27;1.08687700
2023-10-30;1.08072200
2023-10-31;1.07197400
2023-11-02;1.08871900
