datum;nee
2025-03-04;1.00000000
2025-03-05;1.02010600
2025-03-06;1.01638300
2025-03-07;1.00325300
2025-03-10;0.95075300
2025-03-11;0.97733300
2025-03-12;0.98405700
2025-03-13;1.00197700
2025-03-14;1.01284600
2025-03-17;1.01598800
2025-03-18;1.01163100
2025-03-19;1.02531000
2025-03-20;1.02279900
2025-03-21;1.01141500
2025-03-24;1.02725900
2025-03-25;1.03855400
2025-03-26;1.02989800
2025-03-27;1.04515500
2025-03-28;1.02606900
2025-03-31;1.01933400
2025-04-01;1.02291300
2025-04-02;1.02381000
2025-04-03;0.97841400
2025-04-04;0.96857800
2025-04-07;0.94494500
2025-04-08;0.94749300
2025-04-09;0.95627900
2025-04-10;0.94552500
2025-04-11;0.95374100
2025-04-14;0.96025500
2025-04-15;0.96300700
2025-04-16;0.97207000
2025-04-17;0.96620400
2025-04-22;0.98437400
2025-04-23;0.98489700
2025-04-24;0.99219400
2025-04-25;0.99388100
2025-04-28;0.99157800
2025-04-29;0.98652900
2025-04-30;0.97859800
2025-05-05;0.97053600
2025-05-06;0.98439500
2025-05-07;0.98465300
2025-05-08;1.00622400
2025-05-09;1.02583000
2025-05-12;1.01846000
2025-05-13;1.02810000
2025-05-14;1.01365900
2025-05-15;1.00908300
2025-05-16;1.01564100
2025-05-19;1.01673000
2025-05-20;1.02750100
2025-05-21;1.04036300
2025-05-22;1.05045600
2025-05-23;1.04431100
2025-05-26;1.04086000
2025-05-27;1.04632600
2025-05-28;1.03262900
2025-05-29;1.03085200
2025-06-02;1.02807500
2025-06-03;1.03734200
2025-06-04;1.03580000
2025-06-05;1.03650100
2025-06-06;1.04551100
2025-06-10;1.06817300
2025-06-11;1.07253500
2025-06-12;1.06462200
2025-06-13;1.06179200
2025-06-16;1.06707200
2025-06-17;1.05986600
2025-06-18;1.05327300
2025-06-19;1.04687500
2025-06-20;1.03263900
2025-06-23;1.03227600
2025-06-24;1.02928800
2025-06-25;1.03969900
2025-06-26;1.04086400
2025-06-27;1.01978200
2025-06-30;1.03166800
2025-07-01;1.02118400
2025-07-02;1.04438500
2025-07-03;1.05015700
2025-07-04;1.04546000
2025-07-07;1.04572900
2025-07-08;1.03705500
2025-07-09;1.04814200
2025-07-10;1.06236200
2025-07-11;1.10792500
2025-07-14;1.11365500
2025-07-15;1.08922400
2025-07-16;1.11096900
2025-07-17;1.11645000
2025-07-18;1.11363400
2025-07-21;1.13927000
2025-07-22;1.15317900
2025-07-23;1.14026300
2025-07-24;1.13317600
2025-07-25;1.10881000
2025-07-28;1.11895200
2025-07-29;1.12075000
2025-07-30;1.10627200
2025-07-31;1.10009400
2025-08-01;1.08664000
2025-08-04;1.08989300
2025-08-05;1.09142900
2025-08-06;1.09529600
2025-08-07;1.10515200
2025-08-08;1.10747600
2025-08-11;1.11171400
2025-08-12;1.11919000
2025-08-13;1.13158200
2025-08-14;1.11590600
2025-08-15;1.10880800
2025-08-18;1.10479900
2025-08-19;1.08667000
2025-08-21;1.09569400
2025-08-22;1.12097200
2025-08-25;1.10232800
2025-08-26;1.10442200
2025-08-27;1.11146200
2025-08-28;1.11441100
2025-08-29;1.10776000
2025-09-01;1.11056600
2025-09-02;1.12590500
2025-09-03;1.13391100
2025-09-04;1.12090300
2025-09-05;1.12851700
2025-09-08;1.14048100
2025-09-09;1.13386400
2025-09-10;1.14672100
2025-09-11;1.15475500
2025-09-12;1.16805300
2025-09-15;1.16692100
2025-09-16;1.16333500
2025-09-17;1.15685100
2025-09-18;1.16675500
2025-09-19;1.17440500
2025-09-22;1.16987400
2025-09-23;1.17049400
2025-09-24;1.17457200
2025-09-25;1.17106300
2025-09-26;1.17594900
2025-09-29;1.19628400
2025-09-30;1.18979100
2025-10-01;1.20585100
2025-10-02;1.21506000
2025-10-03;1.23149500
2025-10-06;1.25347800
2025-10-07;1.24157000
2025-10-08;1.25706200
2025-10-09;1.24596900
2025-10-10;1.22244200
2025-10-13;1.22701100
2025-10-14;1.21640900
2025-10-15;1.21689500
2025-10-16;1.21081700
2025-10-17;1.18857600
2025-10-20;1.20752500
2025-10-21;1.19888900
2025-10-22;1.18801400
2025-10-27;1.20715800
2025-10-28;1.20361500
2025-10-29;1.19781400
2025-10-30;1.18754700
2025-10-31;1.19352700
2025-11-03;1.18290900
2025-11-04;1.16706700
2025-11-05;1.17017900
2025-11-06;1.16317400
2025-11-07;1.16349500
2025-11-10;1.17320900
2025-11-11;1.17694400
2025-11-12;1.18275600
2025-11-13;1.17166800
2025-11-14;1.16247100
