datum;nee
2025-03-04;1.00000000
2025-03-05;1.01995200
2025-03-06;1.01660400
2025-03-07;1.00279600
2025-03-10;0.95027800
2025-03-11;0.97678600
2025-03-12;0.98353300
2025-03-13;1.00192400
2025-03-14;1.01300900
2025-03-17;1.01629300
2025-03-18;1.01197400
2025-03-19;1.02589800
2025-03-20;1.02367000
2025-03-21;1.01235100
2025-03-24;1.02835000
2025-03-25;1.03984100
2025-03-26;1.03132500
2025-03-27;1.04697500
2025-03-28;1.02803100
2025-03-31;1.02138500
2025-04-01;1.02506000
2025-04-02;1.02602200
2025-04-03;0.98100100
2025-04-04;0.97092300
2025-04-07;0.94693200
2025-04-08;0.94962700
2025-04-09;0.95847800
2025-04-10;0.94834600
2025-04-11;0.95642000
2025-04-14;0.96303000
2025-04-15;0.96589500
2025-04-16;0.97545400
2025-04-17;0.96968400
2025-04-22;0.98766300
2025-04-23;0.98818100
2025-04-24;0.99576700
2025-04-25;0.99758800
2025-04-28;0.99530100
2025-04-29;0.99070300
2025-04-30;0.98282900
2025-05-05;0.97481000
2025-05-06;0.98887600
2025-05-07;0.98923300
2025-05-08;1.01125700
2025-05-09;1.03110100
2025-05-12;1.02389100
2025-05-13;1.03374300
2025-05-14;1.01919800
2025-05-15;1.01477500
2025-05-16;1.02142700
2025-05-19;1.02261800
2025-05-20;1.03352800
2025-05-21;1.04664900
2025-05-22;1.05732900
2025-05-23;1.05125100
2025-05-26;1.04803800
2025-05-27;1.05365200
2025-05-28;1.03985300
2025-05-29;1.03858900
2025-06-02;1.03582900
2025-06-03;1.04512300
2025-06-04;1.04372700
2025-06-05;1.04488800
2025-06-06;1.05394900
2025-06-10;1.07620000
2025-06-11;1.08037800
2025-06-12;1.07293500
2025-06-13;1.07065100
2025-06-16;1.07580900
2025-06-17;1.06907400
2025-06-18;1.06279900
2025-06-19;1.05670400
2025-06-20;1.04269600
2025-06-23;1.04264500
2025-06-24;1.03958700
2025-06-25;1.04988900
2025-06-26;1.05121300
2025-06-27;1.03039700
2025-06-30;1.04234000
2025-07-01;1.03208700
2025-07-02;1.05515900
2025-07-03;1.06132000
2025-07-04;1.05666200
2025-07-07;1.05722200
2025-07-08;1.04874400
2025-07-09;1.06001500
2025-07-10;1.07417300
2025-07-11;1.11967100
2025-07-14;1.12568600
2025-07-15;1.10160300
2025-07-16;1.12330300
2025-07-17;1.12894200
2025-07-18;1.12618500
2025-07-21;1.15214200
2025-07-22;1.16574900
2025-07-23;1.15278700
2025-07-24;1.14600200
2025-07-25;1.12187500
2025-07-28;1.13236700
2025-07-29;1.13450600
2025-07-30;1.12023500
2025-07-31;1.11447300
2025-08-01;1.10239000
2025-08-04;1.10577700
2025-08-05;1.10742500
2025-08-06;1.11137500
2025-08-07;1.12147800
2025-08-08;1.12387100
2025-08-11;1.12819800
2025-08-12;1.13583500
2025-08-13;1.14789700
2025-08-14;1.13294400
2025-08-15;1.12610600
2025-08-18;1.12249500
2025-08-19;1.10483400
2025-08-21;1.11413900
2025-08-22;1.13909800
2025-08-25;1.12107600
2025-08-26;1.12333900
2025-08-27;1.13026400
2025-08-28;1.13368900
2025-08-29;1.12729000
2025-09-01;1.13021000
2025-09-02;1.14557700
2025-09-03;1.15335000
2025-09-04;1.14088100
2025-09-05;1.14834000
2025-09-08;1.16032700
2025-09-09;1.15407500
2025-09-10;1.16690400
2025-09-11;1.17496700
2025-09-12;1.18791500
2025-09-15;1.18666100
2025-09-16;1.18326200
2025-09-17;1.17703000
2025-09-18;1.18691400
2025-09-19;1.19503000
2025-09-22;1.19063000
2025-09-23;1.19105900
2025-09-24;1.19554900
2025-09-25;1.19258500
2025-09-26;1.19809800
2025-09-29;1.21849900
2025-09-30;1.21227500
2025-10-01;1.22763000
2025-10-02;1.23732300
2025-10-03;1.25361400
2025-10-06;1.27560900
2025-10-07;1.26510800
2025-10-08;1.28104500
2025-10-09;1.27032400
2025-10-10;1.24673700
2025-10-13;1.25170600
2025-10-14;1.24137400
2025-10-15;1.24168200
2025-10-16;1.23599400
2025-10-17;1.21404400
2025-10-20;1.23303100
2025-10-21;1.22560000
2025-10-22;1.21458000
2025-10-27;1.23580600
2025-10-28;1.23206200
2025-10-29;1.22681200
2025-10-30;1.21597700
2025-10-31;1.22256200
2025-11-03;1.21101100
2025-11-04;1.19381000
2025-11-05;1.19728100
2025-11-06;1.19000800
2025-11-07;1.19041100
2025-11-10;1.20099600
2025-11-11;1.20531900
2025-11-12;1.21171000
2025-11-13;1.19988500
2025-11-14;1.18994900
