datum;nee
2014-01-21;1.00000000
2014-01-22;1.00217600
2014-01-23;1.00079000
2014-01-24;0.99965400
2014-01-27;0.99822300
2014-01-28;1.00202400
2014-01-29;1.00138000
2014-01-30;1.00489300
2014-01-31;1.00177800
2014-02-03;1.00195400
2014-02-04;1.00180900
2014-02-05;1.00084800
2014-02-06;1.00120700
2014-02-07;1.00168300
2014-02-10;1.00322300
2014-02-11;1.00370200
2014-02-12;1.00342900
2014-02-13;1.00474900
2014-02-14;1.00500500
2014-02-17;1.00608000
2014-02-18;1.00551200
2014-02-19;1.00687800
2014-02-20;1.00797900
2014-02-21;1.00969900
2014-02-24;1.01024500
2014-02-25;1.00888200
2014-02-26;1.00902700
2014-02-27;1.00929300
2014-02-28;1.00849600
2014-03-03;1.01100200
2014-03-04;1.00691600
2014-03-05;1.00922000
2014-03-06;1.00643100
2014-03-07;1.00931000
2014-03-10;1.00817100
2014-03-11;1.00962100
2014-03-12;1.00775000
2014-03-13;1.01006600
2014-03-14;1.00869500
2014-03-17;1.00822100
2014-03-18;1.00818400
2014-03-19;1.00931000
2014-03-20;1.00820100
2014-03-21;1.00901000
2014-03-24;1.01015200
2014-03-25;1.01219900
2014-03-26;1.01334800
2014-03-27;1.01419700
2014-03-28;1.01302000
2014-03-31;1.01310100
2014-04-01;1.01229300
2014-04-02;1.01178000
2014-04-03;1.01296600
2014-04-04;1.01267200
2014-04-07;1.01351500
2014-04-08;1.01375800
2014-04-09;1.01338400
2014-04-10;1.01465900
2014-04-11;1.01535900
2014-04-14;1.01530600
2014-04-15;1.01493700
2014-04-16;1.01435300
2014-04-17;1.01420200
2014-04-22;1.01693700
2014-04-23;1.02256700
2014-04-24;1.02388800
2014-04-25;1.02279800
2014-04-28;1.02255500
2014-04-29;1.02155700
2014-04-30;1.02116200
2014-05-05;1.02403700
2014-05-06;1.02669600
2014-05-07;1.02512600
2014-05-08;1.02356700
2014-05-09;1.02340200
2014-05-12;1.02223600
2014-05-13;1.02333100
2014-05-14;1.02289900
2014-05-15;1.02379800
2014-05-16;1.02359700
2014-05-19;1.02592600
2014-05-20;1.02601000
2014-05-21;1.02469500
2014-05-22;1.02440500
2014-05-23;1.02281000
2014-05-26;1.02199900
2014-05-27;1.02185900
2014-05-28;1.02178300
2014-05-29;1.02113300
2014-05-30;1.02110000
2014-06-02;1.02199500
2014-06-03;1.02301700
2014-06-04;1.02362200
2014-06-05;1.02191300
2014-06-06;1.02047000
2014-06-10;1.02074300
2014-06-11;1.02189000
2014-06-12;1.02171600
2014-06-13;1.02274500
2014-06-16;1.02456600
2014-06-17;1.02407200
2014-06-18;1.02425000
2014-06-19;1.02308300
2014-06-20;1.02189000
2014-06-23;1.02193000
2014-06-24;1.02189600
2014-06-25;1.02205600
2014-06-26;1.02260300
2014-06-27;1.02424800
2014-06-30;1.02545500
2014-07-01;1.02460400
2014-07-02;1.02532400
2014-07-03;1.02614800
2014-07-04;1.02545200
2014-07-07;1.02670000
2014-07-08;1.02459200
2014-07-09;1.02420800
2014-07-10;1.02495500
2014-07-11;1.02484000
2014-07-14;1.02438000
2014-07-15;1.02457100
2014-07-16;1.02395800
2014-07-17;1.02437700
2014-07-18;1.02540600
2014-07-21;1.02569700
2014-07-22;1.02479400
2014-07-23;1.02353700
2014-07-24;1.02577400
2014-07-25;1.02675400
2014-07-28;1.02802100
2014-07-29;1.02882300
2014-07-30;1.03114100
2014-07-31;1.03218900
2014-08-01;1.03353300
2014-08-04;1.03333800
2014-08-05;1.03357800
2014-08-06;1.03359200
2014-08-07;1.03482400
2014-08-08;1.03354200
2014-08-11;1.03397100
2014-08-12;1.03379300
2014-08-13;1.03473700
2014-08-14;1.03488400
2014-08-15;1.03419400
2014-08-18;1.03583100
2014-08-19;1.03501200
2014-08-21;1.03844600
2014-08-22;1.03699600
2014-08-25;1.03548400
2014-08-26;1.03674400
2014-08-27;1.03558600
2014-08-28;1.03557300
2014-08-29;1.03669800
2014-09-01;1.03578000
2014-09-02;1.03683100
2014-09-03;1.03745400
2014-09-04;1.03768500
2014-09-05;1.03816500
2014-09-08;1.03844900
2014-09-09;1.04079400
2014-09-10;1.04125500
2014-09-11;1.04085500
2014-09-12;1.04120600
2014-09-15;1.04135100
2014-09-16;1.03954000
2014-09-17;1.04074600
2014-09-18;1.03965100
2014-09-19;1.03688700
2014-09-22;1.03870600
2014-09-23;1.04472800
2014-09-24;1.04588100
2014-09-25;1.04647600
2014-09-26;1.04484000
2014-09-29;1.04512700
2014-09-30;1.04342500
2014-10-01;1.04437900
2014-10-02;1.04424700
2014-10-03;1.04295400
2014-10-06;1.04387300
2014-10-07;1.04344700
2014-10-08;1.04314900
2014-10-09;1.04206100
2014-10-10;1.04259300
2014-10-13;1.04178000
2014-10-14;1.04145300
2014-10-15;1.04047400
2014-10-16;1.04072300
2014-10-17;1.04088000
2014-10-20;1.04066900
2014-10-21;1.04087400
2014-10-22;1.04057300
2014-10-27;1.04304800
2014-10-28;1.04346200
2014-10-29;1.04220500
2014-10-30;1.04327000
2014-10-31;1.04054800
2014-11-03;1.04280500
2014-11-04;1.04362900
2014-11-05;1.04319000
2014-11-06;1.05387000
2014-11-07;1.05292100
2014-11-10;1.05457500
2014-11-11;1.05215700
2014-11-12;1.05276900
2014-11-13;1.05194800
2014-11-14;1.05052900
2014-11-17;1.05320600
2014-11-18;1.05306800
2014-11-19;1.05255900
2014-11-20;1.05446200
2014-11-21;1.05590200
2014-11-24;1.05698600
2014-11-25;1.05816500
2014-11-26;1.05673000
2014-11-27;1.05696100
2014-11-28;1.05641000
2014-12-01;1.05732200
2014-12-02;1.05756500
2014-12-03;1.05802300
2014-12-04;1.05796100
2014-12-05;1.05858800
2014-12-08;1.05988400
2014-12-09;1.05902300
2014-12-10;1.06041500
2014-12-11;1.06121400
2014-12-12;1.05938400
2014-12-15;1.05609200
2014-12-16;1.06819300
2014-12-17;1.07225200
2014-12-18;1.07442000
2014-12-19;1.07582800
2014-12-22;1.07381200
2014-12-23;1.07321600
2014-12-29;1.07377500
2014-12-30;1.07519800
2014-12-31;1.07637000
2015-01-05;1.07680500
2015-01-06;1.07686700
2015-01-07;1.07565900
2015-01-08;1.07828900
2015-01-09;1.07861000
2015-01-12;1.07942400
2015-01-13;1.08232300
2015-01-14;1.08343400
2015-01-15;1.08598600
2015-01-16;1.08746900
2015-01-19;1.08754900
2015-01-20;1.08994200
2015-01-21;1.09138100
2015-01-22;1.09121000
2015-01-23;1.09483000
2015-01-26;1.09512900
2015-01-27;1.09540500
2015-01-28;1.09542000
2015-01-29;1.09314100
2015-01-30;1.09138300
2015-02-02;1.09178900
2015-02-03;1.09200400
2015-02-04;1.09414800
2015-02-05;1.09252800
2015-02-06;1.09163300
2015-02-09;1.09193900
2015-02-10;1.09495100
2015-02-11;1.09549300
2015-02-12;1.09581700
2015-02-13;1.09559800
2015-02-16;1.09602500
2015-02-17;1.09582100
2015-02-18;1.09598400
2015-02-19;1.09520800
2015-02-20;1.09448900
2015-02-23;1.09541500
2015-02-24;1.09728000
2015-02-25;1.09698000
2015-02-26;1.09929000
2015-02-27;1.10070400
2015-03-02;1.10061100
2015-03-03;1.10115200
2015-03-04;1.10309600
2015-03-05;1.10388700
2015-03-06;1.10544000
2015-03-09;1.10287500
2015-03-10;1.10507200
2015-03-11;1.10392200
2015-03-12;1.10207400
2015-03-13;1.10499300
2015-03-16;1.10456900
2015-03-17;1.10377300
2015-03-18;1.10385200
2015-03-19;1.10460800
2015-03-20;1.10692800
2015-03-23;1.10892100
2015-03-24;1.11104200
2015-03-25;1.11174400
2015-03-26;1.11303700
2015-03-30;1.11075800
2015-03-31;1.10907600
2015-04-01;1.11022600
2015-04-02;1.10898900
2015-04-07;1.11147600
2015-04-08;1.11110000
2015-04-09;1.11133500
2015-04-10;1.11313600
2015-04-13;1.11354900
2015-04-14;1.11105700
2015-04-15;1.11609900
2015-04-16;1.11766200
2015-04-17;1.11712700
2015-04-20;1.11879600
2015-04-21;1.11623900
2015-04-22;1.11765800
2015-04-23;1.11864200
2015-04-24;1.11499500
2015-04-27;1.11892200
2015-04-28;1.11741800
2015-04-29;1.11844200
2015-04-30;1.12083200
2015-05-04;1.12303400
2015-05-05;1.12231700
2015-05-06;1.12399900
2015-05-07;1.12817700
2015-05-08;1.12618400
2015-05-11;1.12737500
2015-05-12;1.12769700
2015-05-13;1.12757000
2015-05-14;1.12919300
2015-05-15;1.12908900
2015-05-18;1.13044300
2015-05-19;1.12963800
2015-05-20;1.13080100
2015-05-21;1.13080100
2015-05-22;1.13134800
2015-05-26;1.13083600
2015-05-27;1.13147600
2015-05-28;1.13184100
2015-05-29;1.13131600
2015-06-01;1.13522000
2015-06-02;1.13467100
2015-06-03;1.13574700
2015-06-04;1.13620800
2015-06-05;1.13448000
2015-06-08;1.13550400
2015-06-09;1.13293000
2015-06-10;1.13466500
2015-06-11;1.13430800
2015-06-12;1.13236300
2015-06-15;1.13186400
2015-06-16;1.13117700
2015-06-17;1.13158700
2015-06-18;1.13097400
2015-06-19;1.13422200
2015-06-22;1.13346800
2015-06-23;1.13388800
2015-06-24;1.13365800
2015-06-25;1.13480000
2015-06-26;1.13616800
2015-06-29;1.13238600
2015-06-30;1.12994900
2015-07-01;1.13230800
2015-07-02;1.13268600
2015-07-03;1.13253800
2015-07-06;1.13094500
2015-07-07;1.12802300
2015-07-08;1.13127100
2015-07-09;1.13274800
2015-07-10;1.13496900
2015-07-13;1.13586600
2015-07-14;1.13537900
2015-07-15;1.13645900
2015-07-16;1.13681000
2015-07-17;1.13812500
2015-07-20;1.13955100
