datum;nee
2024-12-10;1.00000000
2024-12-11;1.00476000
2024-12-12;1.00731800
2024-12-13;1.00607800
2024-12-16;1.01999800
2024-12-17;1.02285200
2024-12-18;1.02674300
2024-12-19;1.02507500
2024-12-20;1.01875400
2024-12-23;1.01397800
2024-12-30;1.01424000
2024-12-31;1.01363000
2025-01-02;1.02130100
2025-01-03;1.02523500
2025-01-06;1.02423900
2025-01-07;1.02016600
2025-01-08;1.01777400
2025-01-09;1.01599100
2025-01-10;1.01904400
2025-01-13;1.01795300
2025-01-14;1.01706500
2025-01-15;1.01905800
2025-01-16;1.02213300
2025-01-17;1.02617300
2025-01-20;1.02068200
2025-01-21;1.02065500
2025-01-22;1.01586500
2025-01-23;1.01489500
2025-01-24;1.01670900
2025-01-27;1.01668300
2025-01-28;1.01720200
2025-01-29;1.01704000
2025-01-30;1.01898800
2025-01-31;1.02237700
2025-02-03;1.01360800
2025-02-04;1.00944800
2025-02-05;1.00670500
2025-02-06;1.00510800
2025-02-07;1.00408100
2025-02-10;1.00394100
2025-02-11;1.00212400
2025-02-12;0.99436400
2025-02-13;0.99097200
2025-02-14;0.99522900
2025-02-17;0.99611100
2025-02-18;0.98745100
2025-02-19;0.99348600
2025-02-20;0.99978800
2025-02-21;1.00821300
2025-02-24;1.00807500
2025-02-25;1.00068900
2025-02-26;0.99692800
2025-02-27;0.99911200
2025-02-28;0.99971700
2025-03-03;1.00557800
2025-03-04;0.99657400
2025-03-05;0.99036800
2025-03-06;0.99890100
2025-03-07;0.99184100
2025-03-10;0.99110300
2025-03-11;0.98950300
2025-03-12;0.98479600
2025-03-13;0.98830600
2025-03-14;0.97749900
2025-03-17;0.97358900
2025-03-18;0.97163700
2025-03-19;0.97863800
2025-03-20;0.97918100
2025-03-21;0.97721800
2025-03-24;0.97411500
2025-03-25;0.97473100
2025-03-26;0.97659100
2025-03-27;0.97858700
2025-03-28;0.98317500
2025-03-31;0.98397700
2025-04-01;0.98719000
2025-04-02;0.98398800
2025-04-03;0.98950800
2025-04-04;1.00960300
2025-04-07;0.99672900
2025-04-08;0.99448400
2025-04-09;0.98557300
2025-04-10;0.97917100
2025-04-11;0.97531500
2025-04-14;0.98073600
2025-04-15;0.97922600
2025-04-16;0.98088700
2025-04-17;0.97959100
2025-04-22;0.98620600
2025-04-23;0.98844400
2025-04-24;0.98395500
2025-04-25;0.98691600
2025-04-28;0.98260400
2025-04-29;0.98258600
2025-04-30;0.98191700
2025-05-05;0.97504800
2025-05-06;0.97899100
2025-05-07;0.97870700
2025-05-08;0.98269000
2025-05-09;0.99077100
2025-05-12;0.98692400
2025-05-13;0.98954200
2025-05-14;0.98734900
2025-05-15;0.98569200
2025-05-16;0.98381300
2025-05-19;0.97824900
2025-05-20;0.98008900
2025-05-21;0.98289100
2025-05-22;0.99045800
2025-05-23;0.98809900
2025-05-26;0.98751200
2025-05-27;0.98784200
2025-05-28;0.98523800
2025-05-29;0.98635600
2025-06-02;0.98059600
2025-06-03;0.98225500
2025-06-04;0.98141000
2025-06-05;0.97847300
2025-06-06;0.97210300
2025-06-10;0.97558800
2025-06-11;0.97726700
2025-06-12;0.97577800
2025-06-13;0.97355800
2025-06-16;0.97662900
2025-06-17;0.97647400
2025-06-18;0.97695100
2025-06-19;0.97588100
2025-06-20;0.97672400
2025-06-23;0.96670200
2025-06-24;0.97013300
2025-06-25;0.97104300
2025-06-26;0.97000500
2025-06-27;0.96729000
2025-06-30;0.96958500
2025-07-01;0.96800600
2025-07-02;0.96868200
2025-07-03;0.96612300
2025-07-04;0.96333600
2025-07-07;0.96553800
2025-07-08;0.96403500
2025-07-09;0.96788200
2025-07-10;0.96855500
2025-07-11;0.97566400
2025-07-14;0.97326000
2025-07-15;0.97265000
2025-07-16;0.97822000
2025-07-17;0.97937400
2025-07-18;0.98184500
2025-07-21;0.99089800
2025-07-22;0.98927100
2025-07-23;0.98355000
2025-07-24;0.98699000
2025-07-25;0.98056300
2025-07-28;0.98557600
2025-07-29;0.98923800
2025-07-30;0.98867600
2025-07-31;0.98848700
2025-08-01;0.98759500
2025-08-04;0.98705700
2025-08-05;0.98652400
2025-08-06;0.98472800
2025-08-07;0.98823000
2025-08-08;0.98776300
2025-08-11;0.99410800
2025-08-12;0.99341700
2025-08-13;1.00293800
2025-08-14;1.00051300
2025-08-15;0.99605800
2025-08-18;0.99361100
2025-08-19;0.99014900
2025-08-21;0.99397800
2025-08-22;0.99873300
2025-08-25;0.99538900
2025-08-26;0.99509400
2025-08-27;0.99472800
2025-08-28;0.99388200
2025-08-29;0.98932000
2025-09-01;0.98905100
2025-09-02;0.99121700
2025-09-03;0.99243000
2025-09-04;0.98622000
2025-09-05;0.98784400
2025-09-08;0.98840000
2025-09-09;0.98849800
2025-09-10;0.99129600
2025-09-11;0.98891100
2025-09-12;0.99114500
2025-09-15;0.98528100
2025-09-16;0.98639700
2025-09-17;0.98625800
2025-09-18;0.98167500
2025-09-19;0.97954900
2025-09-22;0.97308000
2025-09-23;0.97797500
2025-09-24;0.98060100
2025-09-25;0.97709400
2025-09-26;0.97458100
2025-09-29;0.97974500
2025-09-30;0.97642900
2025-10-01;0.97935800
2025-10-02;0.98363600
2025-10-03;0.98466400
2025-10-06;0.98562100
